Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,Volts,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
320,42,45,34,42,3645.6,3645.6,9656,9656,771420,9.20E+06,9123664,2.73E+05,1.48E+05,2.59E+05,88619,0.77142,9.19957,9.123664,2.73E+00,1.48E+00,2.59E+00,8.86E-01,1406,1130,1588.78,1112.146,889.7168,44.48584,0,0,0,0,0,0
325,42,45,34,42,3724,3645.6,9656,9372,7.55E+05,9.45E+06,9.58E+06,2.73E+05,250431,2.59E+05,9.57E+04,0.7553415,9.451778,9.57681,2.73E+00,2.50E+00,2.59E+00,9.57E-01,1413,1131,1598.103,1118.6721,894.93768,44.746884,0,0,0,0,0,0
330,42,45,34,42,3567.2,3645.6,9656,9656,1635225,9.45E+06,20463656,502660,250431,2.59E+05,9.57E+04,1.635225,9.451778,20.463656,5.03E+00,2.50E+00,2.59E+00,9.57E-01,1413,1124,1588.212,1111.7484,889.39872,44.469936,0,0,0,0,0,0
335,42,46,34,42,3645.6,3645.6,9656,9656,7.49E+05,9.23E+06,10529312,502660,1.40E+05,2.59E+05,196787,0.7490495,9.233748,10.529312,5.03E+00,1.40E+00,2.59E+00,1.97E+00,1413,1127,1592.451,1114.7157,891.77256,44.588628,0,11,0,57.1,0,58470.4
340,42,45,34,42,3567.2,3645.6,9656,9656,1544076,9.23E+06,18722933,502660,531637,2.59E+05,196787,1.544076,9.233748,18.722933,5.03E+00,5.32E+00,2.59E+00,1.97E+00,1424,1130,1609.12,1126.384,901.1072,45.05536,0,1.2,0,0.8,0,819.2
345,42,46,34,42,3645.6,3645.6,9372,9656,1544076,20402294,18722933,502660,531637,2.21E+05,219815,1.544076,20.402294,18.722933,5.03E+00,5.32E+00,2.21E+00,2.20E+00,1409,1130,1592.17,1114.519,891.6152,44.58076,0,0,0,0,0,0
350,42,45,34,42,3645.6,3567.2,9656,9656,760036,9631420,9753021,265850,531637,2.21E+05,9.64E+04,0.760036,9.63142,9.753021,2.66E+00,5.32E+00,2.21E+00,9.64E-01,1423,1127,1603.721,1122.6047,898.08376,44.904188,0,0,0,0,0,0
355,42,45,34,42,3645.6,3567.2,9372,9656,757265,9629821,9.80E+06,265850,243534,2.21E+05,95839,0.757265,9.629821,9.797342,2.66E+00,2.44E+00,2.21E+00,9.58E-01,1410,1129,1591.89,1114.323,891.4584,44.57292,0,0,0,0,0,0
360,42,45,34,42,3645.6,3645.6,9656,9656,8.09E+05,1.03E+07,10474646,265850,2.43E+05,2.21E+05,1.69E+05,0.8094895,10.33252,10.474646,2.66E+00,2.43E+00,2.21E+00,1.69E+00,1411,1132,1597.252,1118.0764,894.46112,44.723056,0,0,0,0,0,0
365,42,45,34,42,3645.6,3645.6,9656,9656,1517527,1.03E+07,19511895,490236,2.43E+05,2.21E+05,1.69E+05,1.517527,10.33252,19.511895,4.90E+00,2.43E+00,2.21E+00,1.69E+00,1420,1128,1601.76,1121.232,896.9856,44.84928,0,12.6,0,59.3,0,60723.2
370,42,45,34,42,3567.2,3645.6,9656,9656,7.63E+05,8546351,9.66E+06,490236,169500,2.21E+05,181237,0.7629495,8.546351,9.662726,4.90E+00,1.70E+00,2.21E+00,1.81E+00,1409,1129,1590.761,1113.5327,890.82616,44.541308,0,1.2,0,0.8,0,819.2
375,43,45,34,42,3645.6,3567.2,9656,9656,1.02E+06,6712547,1.34E+07,1.97E+05,1.46E+05,2.21E+05,147071,1.017883,6.712547,13.44647,1.97E+00,1.46E+00,2.21E+00,1.47E+00,1436,1134,1628.424,1139.8968,911.91744,45.595872,0,0,0,0,0,0
380,42,46,34,42,3645.6,3645.6,9656,9372,1497410,6712547,21904737,420737,1.46E+05,2.21E+05,147071,1.49741,6.712547,21.904737,4.21E+00,1.46E+00,2.21E+00,1.47E+00,1445,1123,1622.735,1135.9145,908.7316,45.43658,0,0,0,0,0,0
385,42,46,34,42,3645.6,3645.6,9656,9656,1511919,6712547,20628651,420737,387025,2.21E+05,147071,1.511919,6.712547,20.628651,4.21E+00,3.87E+00,2.21E+00,1.47E+00,1454,1123,1632.842,1142.9894,914.39152,45.719576,0,0,0,0,0,0
390,42,45,34,42,3645.6,3645.6,9656,9656,8.12E+05,10207453,10670449,420737,2.40E+05,2.21E+05,1.82E+05,0.8120005,10.207453,10.670449,4.21E+00,2.40E+00,2.21E+00,1.82E+00,1411,1123,1584.553,1109.1871,887.34968,44.367484,0,0,0,0,0,0
395,42,46,34,42,3645.6,3645.6,9656,9372,1502691,10207453,21013217,373088,2.40E+05,2.21E+05,1.82E+05,1.502691,10.207453,21.013217,3.73E+00,2.40E+00,2.21E+00,1.82E+00,1411,1127,1590.197,1113.1379,890.51032,44.525516,0,15.2,0,70.5,0,72192
400,42,45,34,42,3724,3645.6,9656,9656,1502691,1.85E+07,21013217,373088,2.40E+05,188632,104796,1.502691,18.48728,21.013217,3.73E+00,2.40E+00,1.89E+00,1.05E+00,1410,1130,1593.3,1115.31,892.248,44.6124,0,1.2,0,0.8,0,819.2
405,42,45,34,42,3645.6,3645.6,9656,9656,766829,9.55E+06,9842796,373088,230765,188632,203172,0.766829,9.553576,9.842796,3.73E+00,2.31E+00,1.89E+00,2.03E+00,1440,1135,1634.4,1144.08,915.264,45.7632,0,0,0,0,0,0
410,42,46,34,42,3645.6,3645.6,9372,9656,1513191,9.55E+06,20128419,373088,275630,188632,203172,1.513191,9.553576,20.128419,3.73E+00,2.76E+00,1.89E+00,2.03E+00,1417,1135,1608.295,1125.8065,900.6452,45.03226,0,0,0,0,0,0
415,42,45,34,42,3645.6,3645.6,9656,9656,1513191,18810772,20128419,373088,275630,412860,203172,1.513191,18.810772,20.128419,3.73E+00,2.76E+00,4.13E+00,2.03E+00,1407,1136,1598.352,1118.8464,895.07712,44.753856,0,0,0,0,0,0
420,42,45,34,42,3645.6,3645.6,9656,9656,1513191,19746820,20128419,373088,275630,412860,197523,1.513191,19.74682,20.128419,3.73E+00,2.76E+00,4.13E+00,1.98E+00,1428,1133,1617.924,1132.5468,906.03744,45.301872,0,0,0,0,0,0
