Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,ProcPwr,disk_read_kbytes,disk_write_kbytes
1210,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,72.56097561,72.56097561,22.0832266,0.936585801,2.305196039,1.016881394,0.439496655,0.046218784,0.187464477,0.891276321,0,3.779069767
1215,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,74.3902439,33.33236378,2.335503008,4.409711043,4.378523395,1.754426281,0.223559989,0.341382247,0.891706059,0,0
1220,91.30434783,86.2745098,91.89189189,89.58333333,95.69892473,97.84946237,74.3902439,72.56097561,47.54918381,2.779752771,5.061602721,5.194759223,1.723213992,0.263966884,0.320126679,0.890416846,0,0
1225,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,72.56097561,47.70482867,2.580201789,4.344155462,5.982395613,3.52712896,0.219832458,0.186553729,0.889127632,0,2.761627907
1230,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,72.56097561,74.3902439,47.82502221,2.883597389,5.096742905,5.082960143,2.201788044,0.248722904,0.640823385,0.889127632,0,2.325581395
1235,91.30434783,88.23529412,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,72.56097561,49.16647979,2.942522829,5.266887907,5.982564176,3.142990155,0.210062956,0.642168301,0.889127632,0,20.20348837
1240,91.30434783,86.2745098,91.89189189,89.58333333,95.69892473,97.84946237,74.3902439,74.3902439,47.90167961,2.823470623,4.73277947,7.762457787,3.817792731,0.246616605,0.162657209,0.889127632,0,0.872093023
1245,91.30434783,88.23529412,91.89189189,89.58333333,97.84946237,100,74.3902439,74.3902439,47.94186923,2.652508321,4.881283661,4.602332259,2.000175859,0.279373936,0.288366246,0.889127632,0,0
1250,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,100,74.3902439,72.56097561,48.13972101,2.603145948,4.754382664,5.477873994,1.734887582,0.257696613,0.311771092,0.88955737,0,1.162790698
1255,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,72.56097561,72.56097561,47.68485896,2.566473499,4.365935257,6.061648083,3.217293313,0.220714233,0.207578555,0.889987108,0,0
