scheduler,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
tas,545,0,83.53,376.3,43.23,83.85,62.89
tas,545,1,129.2,721.3,43.85,149.1,111.8
tas,545,2,177,641.7,40.23,143.2,107.4
tas,545,3,156.6,792.7,42.1,165.2,123.9
tas,550,0,84.02,378.7,43.23,84.32,63.24
tas,550,1,130.7,729.3,43.85,150.6,113
tas,550,2,177.9,651.8,40.35,145,108.8
tas,550,3,158.7,798.5,42.23,166.6,124.9
tas,555,0,84.49,381,43.23,84.78,63.59
tas,555,1,132.3,737.8,43.98,152.3,114.3
tas,555,2,178.9,662,40.48,146.9,110.2
tas,555,3,160.9,804.4,42.1,167.9,125.9
tas,560,0,85.07,383.7,43.23,85.34,64
tas,560,1,134.1,745.5,44.35,154,115.5
tas,560,2,180,671.8,40.6,148.7,111.5
tas,560,3,162.7,812.1,41.85,169.4,127.1
tas,565,0,85.63,386.4,43.23,85.88,64.41
tas,565,1,136,753,44.73,155.6,116.7
tas,565,2,181,681.6,40.23,150.5,112.9
tas,565,3,164.5,819.9,41.85,171,128.3
tas,570,0,86.12,388.7,42.98,86.29,64.72
tas,570,1,137.6,761.7,44.6,157.3,118
tas,570,2,182,691.5,40.23,152.3,114.2
tas,570,3,166.6,826.7,41.98,172.5,129.4
tas,575,0,86.56,390.6,42.85,86.66,65
tas,575,1,139.2,770.7,44.48,159.1,119.3
tas,575,2,182.9,701,40.1,154,115.5
tas,575,3,168.6,833.5,42.1,174,130.5
tas,580,0,86.98,392.4,42.73,87.02,65.26
tas,580,1,140.9,779.4,44.1,160.7,120.6
tas,580,2,183.7,710.9,40.1,155.8,116.8
tas,580,3,170.7,840.1,42.1,175.5,131.6
tas,585,0,87.42,394.2,42.73,87.38,65.54
tas,585,1,142.7,787.5,44.35,162.4,121.8
tas,585,2,184.4,721.5,39.73,157.6,118.2
tas,585,3,172.7,846.9,42.1,177,132.7
tas,590,0,87.86,395.8,42.73,87.74,65.8
tas,590,1,144.7,794.9,44.35,164,123
tas,590,2,185.2,731.8,39.98,159.5,119.6
tas,590,3,174.5,854.9,41.73,178.5,133.9
tas,595,0,88.31,397.5,42.73,88.09,66.07
tas,595,1,147,801.3,44.6,165.5,124.1
tas,595,2,186,741.5,39.98,161.2,120.9
tas,595,3,175.8,864.1,41.6,180.3,135.2
tas,600,0,88.65,398.6,42.6,88.31,66.23
tas,600,1,149,808.7,44.23,167,125.2
tas,600,2,186.7,751.8,39.98,163.1,122.3
tas,600,3,177.6,871.3,41.85,181.8,136.3
tas,605,0,88.99,399.7,42.6,88.55,66.41
tas,605,1,150.8,816.6,44.23,168.6,126.5
tas,605,2,187.7,761.4,40.1,164.9,123.7
tas,605,3,179.3,878.8,41.85,183.3,137.5
tas,610,0,89.32,400.8,42.6,88.79,66.59
tas,610,1,152.7,824.3,44.23,170.2,127.6
tas,610,2,188.7,771.3,40.1,166.7,125
tas,610,3,181.1,886.2,41.98,184.9,138.7
tas,615,0,89.65,401.9,42.6,89.03,66.77
tas,615,1,154.5,832,44.23,171.8,128.8
tas,615,2,189.7,781.2,40.1,168.5,126.4
tas,615,3,183,893.6,41.98,186.4,139.8
tas,620,0,89.98,403,42.6,89.27,66.95
tas,620,1,156,840.8,44.23,173.5,130.1
tas,620,2,190.6,791.4,40.23,170.4,127.8
tas,620,3,185.2,899.8,42.35,187.9,140.9
tas,625,0,90.26,404.3,42.6,89.53,67.15
tas,625,1,157.5,850,44.23,175.3,131.5
tas,625,2,191.8,800.9,40.35,172.2,129.1
tas,625,3,187.4,905.9,42.35,189.3,141.9
tas,630,0,90.55,405.7,42.6,89.81,67.36
tas,630,1,158.8,860.1,44.6,177.2,132.9
tas,630,2,193.2,809.6,40.1,173.8,130.4
tas,630,3,189.6,911.9,42.35,190.6,143
tas,635,0,90.85,407.2,42.6,90.1,67.58
tas,635,1,160.1,870,44.6,179.1,134.3
tas,635,2,194.5,818.5,40.1,175.5,131.6
tas,635,3,191.8,918,42.48,192,144
tas,640,0,91.3,409.3,42.73,90.56,67.92
tas,640,1,161.4,879.4,44.73,180.9,135.7
tas,640,2,196,826.7,40.35,177.2,132.9
tas,640,3,193.8,924.4,42.23,193.4,145.1
tas,645,0,91.75,411.6,42.73,91.02,68.26
tas,645,1,162.5,889.3,44.35,182.7,137
tas,645,2,197.2,835.8,40.35,178.9,134.2
tas,645,3,196.3,929.4,42.6,194.7,146
tas,650,0,92.23,414.1,42.85,91.53,68.65
tas,650,1,163.7,899.1,44.48,184.5,138.4
tas,650,2,198.6,844.3,40.35,180.6,135.4
tas,650,3,198.7,935.3,42.48,196.1,147.1
tas,655,0,92.89,417,43.1,92.16,69.12
tas,655,1,165,908.1,44.48,186.3,139.7
tas,655,2,200.2,853.7,40.35,182.4,136.8
tas,655,3,201,942.1,42.6,197.6,148.2
tas,660,0,93.65,420.4,43.23,92.87,69.66
tas,660,1,166.6,916.7,44.6,188,141
tas,660,2,201.9,862.3,40.6,184.1,138.1
tas,660,3,202.9,950.1,42.23,199.2,149.4
tas,665,0,94.5,423.9,43.23,93.6,70.2
tas,665,1,168.1,925.2,44.35,189.6,142.2
tas,665,2,203.7,871.1,40.85,185.9,139.5
tas,665,3,204.9,958.3,42.23,200.9,150.7
tas,670,0,95.54,427.6,43.35,94.41,70.81
tas,670,1,169.8,933,44.35,191.2,143.4
tas,670,2,205.3,880.9,40.85,187.9,140.9
tas,670,3,206.9,966.5,42.35,202.6,152
tas,675,0,96.66,431.4,43.35,95.24,71.43
tas,675,1,171.4,940.7,44.1,192.7,144.5
tas,675,2,206.9,892,40.85,189.9,142.5
tas,675,3,209,974.2,42.6,204.3,153.2
tas,680,0,97.71,434.8,43.35,95.97,71.98
tas,680,1,173,948.6,44.1,194.3,145.7
tas,680,2,208.6,902.7,40.98,192,144
tas,680,3,211,983.1,42.85,206.2,154.6
tas,685,0,98.83,438.8,43.6,96.88,72.66
tas,685,1,174.7,956.8,44.23,196,147
tas,685,2,210.5,913,40.98,194.1,145.6
tas,685,3,212.9,992.5,42.6,208,156
