time    cpu HT0     HT1       HT2       L2miss   
     885   1 1677009         0  54069291  5196411
     885   0 1677009         0  54078056 15463985
     890   0 1526067         0  49345637  7153236
     890   2       0  44515954         0   485895
     890   1 1526069         0  49385673  8729640
     895   1 1507846         0  68529773   663834
     895   0 1507848         0  68556174 18424695
     900   1 1526125         0  57690754  1004696
     900   3       0  58796995         0  1563469
     905   3       0  52924490         0  9295437
     905   2       0  52965734         0  4144982
     910   1 1498438         0  35726433   367975
     910   2       0  37498542         0  7313217
     915   2       0  45157235         0 11701724
     915   3       0  45200644         0  9569907
     920   0  634157         0  35676922   455909
     920   2       0  39911502         0 17676368
     920   3       0  39929513         0    82366
     925   3       0  42804196         0  3714304
     925   2       0  42860777         0  8687219
     930   2       0  54455174         0  1935201
     930   3       0  54499149         0 10551651
     935   0 1516288         0  35483580   932470
     935   3       0  44583152         0  7093004
     940   0 1510359         0  39351680   815138
     940   3       0  44298440         0  9725876
     945   0 1665575         0  39455313   728521
     945   2       0  41154134         0 10584044
     950   1 1517484         0  30687315   767417
     950   0 1517484         0  30687538   635216
     950   2       0  38533889         0  4672126
     955   3       0  34545020         0  4025796
     955   2       0  34543480         0  6463017
     960   1 1507068         0  78586891   350417
     960   0 1507103         0  78587263  1852891
     960   3       0  86879515         0  2401283
     965   3       0  50887363         0   684774
     970   3       0  27763141         0  5615635
     970   2       0  27798337         0 11534985
     975   0 1681672         0  37509765   691749
     975   2       0  40577193         0  8367121
     980   0 1513442         0  68255132  1179174
     980   2       0  74920986         0 10489228
     985   0 1522023         0  44741846   785393
     985   2       0  45914589         0 11658130
     990   0 1499932         0  46380403   670277
     990   3       0  56137317         0 13475787
     995   1 1511120         0  54925526   607803
     995   2       0  60829573         0 17697363
    1000   2       0  52427302         0  1600353
    1000   3       0  52473694         0 20838178
    1005   0 1666643         0  55868535   730498
    1005   3       0  55467160         0  8273194
    1010   3       0  48426019         0  5986503
    1010   0 1515784         0  42454423   667465
    1010   2       0  48475700         0  5761672
    1015   3       0  50594063         0 14301948
    1015   2       0  50609784         0  7932973
    1020   3       0  33460555         0  4788616
    1025   1 1521533         0  37071513   682101
    1025   0 1521602         0  37081372   948278
    1025   2       0  45040385         0 10311511
    1030   0 1519597         0  45884673   679965
    1030   2       0  42799199         0 13910443
    1035   0 1668226         0  44683963   655783
    1040   1 1524135         0  20063482   783059
    1040   2       0  26944860         0   391236
    1045   1 1518910         0  41156198   566562
    1050   0 1525014         0  29676708   916765
    1055   2       0  29142946         0   413516
    1055   0 1522793         0  21145040  1018173
    1060   2       0  19481198         0   377777
    1065   2       0   6608491         0    80329
    1065   0  920237         0   5494295   125949
    1070   0 1040637         0  19410047   464460
    1075   0 1526185         0  18228911   539115
    1080   2       0  33341022         0   405025
    1085   2       0  27392706         0   484827
    1090   0 1526137         0  17766731   548246
    1090   1 1526137         0  17772455   399035
    1095   0 1691926         0  18973877   596177
    1100   2       0  26991637         0   353919
    1105   0 1517883         0  19229659   485780
    1105   2       0  21602734         0   427326
    1110   3       0  33176070         0   332510
    1115   0  218469         0   6155170    46278
    1115   2       0  12144856         0    50370
    1120   2       0  18590702         0   385549
    1125   0 1899066         0  19935719   523938
    1130   3       0  26908286         0   445981
    1130   1 1491080         0  22277531   547080
    1135   0 1527334         0  17356762   532390
    1140   1 1506696         0  23104076   863522
    1145   3       0  28286312         0   260246
    1145   1 1520739         0  21066855   798156
    1150   0 1522639         0  18034573   504747
    1155   3       0  21088974         0   330837
    1160   3       0  19612877         0   193698
    1160   1 1257425         0  14093938   622479
