 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6533008 7559244 147 1864 0 2 2 0  0  0  0  0  0  565 1621  259 25  3 72
 0 0 0 6531640 7558028 147 1897 0 0 0 0  0  0  0  0  0  521 1633  265 25  3 72
 0 0 0 6530076 7556464 147 1906 0 0 0 0  0  0  0  0  0  540 1612  307 25  3 72
 0 0 0 6529220 7555460 147 1864 0 0 0 0  0  0  0  0  0  512 1599  274 25  3 72
 0 0 0 6528060 7554452 147 1856 0 0 0 0  0  0  0  0  0  529 1624  269 25  3 72
 0 0 0 6527492 7553748 15 148 0 0  0  0  0  1  0  0  0  459  782  207 25  1 74
 0 0 0 6526588 7552840 131 1774 0 0 0 0  0  1  0  0  0  534 1511  262 25  2 73
 0 0 0 6525428 7551828 148 1879 0 1 1 0  0  1  0  0  0  533 1649  301 25  3 72
 0 0 0 6524716 7550980 147 1861 0 0 0 0  0  0  0  0  0  538 1624  300 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6523432 7549844 147 1876 0 0 0 0  0  0  0  0  0  555 1629  267 25  3 72
 0 0 0 6522484 7548888 147 1868 0 0 0 0  0  0  0  0  0  500 1624  265 25  3 72
 0 0 0 6522004 7548260 147 1859 0 0 0 0  0  0  0  0  0  534 1623  269 25  3 72
 0 0 0 6520884 7547288 148 1881 0 1 1 0  0  2  0  0  0  558 1629  268 25  3 72
 0 0 0 6520036 7546288 147 1880 0 0 0 0  0  0  0  0  0  551 1641  307 25  3 72
 0 0 0 6518692 7545092 147 1875 0 0 0 0  0  0  0  0  0  533 1632  283 25  3 72
 0 0 0 6517964 7544216 16 146 0 0  0  0  0  0  0  0  0  439  788  186 25  1 74
 0 0 0 6516884 7543140 131 1780 0 0 0 0  0  0  0  0  0  516 1525  292 25  2 73
 0 0 0 6515776 7542172 147 1866 0 0 0 0  0  0  0  0  0  541 1701  295 25  3 72
 0 0 0 6514864 7541260 147 1871 0 1 1 0  0  2  0  0  0  571 1635  257 25  3 72
 0 0 0 6514152 7540396 147 1879 0 0 0 0  0  0  0  0  0  517 1639  276 25  3 72
 0 0 0 6512784 7539184 147 1878 0 0 0 0  0  0  0  0  0  530 1625  264 25  3 72
 0 0 0 6512100 7538340 147 1870 0 0 0 0  0  0  0  0  0  550 1632  266 25  3 72
 0 0 0 6508844 7535392 147 2013 0 0 0 0  0  0  0  0  0  551 1638  307 25  3 72
 0 0 0 6507300 7533796 147 1863 0 0 0 0  0  0  0  0  0  537 1633  259 25  3 72
 0 0 0 6506288 7532932 147 1867 0 0 0 0  0  1  0  0  0  557 1643  261 25  3 72
 0 0 0 6505640 7532136 16 143 0 0  0  0  0  0  0  0  0  427  775  187 25  1 74
 0 0 0 6504480 7531128 131 1763 0 0 0 0  0  0  0  0  0  525 1525  270 25  3 72
 0 0 0 6503804 7530300 147 1876 0 0 0 0  0  0  0  0  0  555 1638  266 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6502636 7529280 147 1876 0 0 0 0  0  0  0  0  0  513 1645  259 25  3 72
 0 0 0 6502008 7528508 147 1868 0 0 0 0  0  0  0  0  0  553 1639  310 25  3 72
 0 0 0 6500720 7527392 147 1883 0 1 1 0  0  2  0  0  0  577 1624  307 25  3 72
 0 0 0 6499752 7526344 147 1890 0 0 0 0  0  0  0  0  0  529 1620  267 25  3 72
 0 0 0 6498568 7525288 147 1857 0 0 0 0  0  0  0  0  0  526 1607  256 25  3 72
 0 0 0 6497852 7524568 147 1864 0 0 0 0  0  0  0  0  0  551 1621  264 25  3 72
 0 0 0 6496316 7523356 147 1892 0 0 0 0  0  0  0  0  0  506 1603  265 25  3 72
 0 0 0 6495332 7522372 16 144 0 0  0  0  0  1  0  0  0  449  753  181 25  1 74
 0 0 0 6493904 7521088 131 1784 0 1 1 0  0  0  0  0  0  558 1540  292 25  3 72
 0 0 0 6493092 7520128 147 1880 0 0 0 0  0  0  0  0  0  544 1618  312 25  3 72
 0 0 0 6491940 7519120 147 1881 0 0 0 0  0  0  0  0  0  507 1617  262 25  4 71
 0 0 0 6490628 7517824 177 2041 0 3 3 0  0  0  0  0  0  559 2095  285 25  3 72
 0 0 0 6490084 7517144 147 1865 0 0 0 0  0  0  0  0  0  507 1605  265 25  3 72
 0 0 0 6488816 7516024 147 1873 0 0 0 0  0  1  0  0  0  543 1710  299 25  3 72
 0 0 0 6487972 7515028 147 1917 0 1 1 0  0  1  0  0  0  563 1614  257 25  3 72
 0 0 0 6486492 7513712 147 1832 0 0 0 0  0  0  0  0  0  525 1619  265 25  3 72
 0 0 0 6602980 7629240 265 5828 0 9 9 0  0  1  0  0  0 1142 3115  265 24  4 72
 0 0 0 6642952 7668680 58 818 0 0  0  0  0  0  0  0  0  497  914  269 25  1 74
 0 0 0 6642700 7668572 147 1824 0 0 0 0  0  0  0  0  0  503 1488  267 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6642668 7668548 147 1825 0 0 0 0  0  0  0  0  0  514 1502  271 25  3 72
 0 0 0 6642952 7668684 147 1880 0 1 1 0  0  1  0  0  0  531 1515  267 25  3 72
 0 0 0 6638276 7664148 147 2333 0 0 0 0  0  0  0  0  0  556 1712  317 25  3 72
 0 0 0 6564124 7590892 147 5927 0 0 0 0  0  0  0  0  0  523 2260  263 25  3 72
 0 0 0 6547968 7574884 147 1827 0 0 0 0  0  0  0  0  0  522 1503  272 25  3 72
 0 0 0 6548224 7574988 147 1824 0 0 0 0  0  0  0  0  0  521 1485  313 25  3 72
 0 0 0 6547972 7574880 147 1834 0 0 0 0  0  0  0  0  0  566 1509  317 25  3 72
 0 0 0 6509152 7535928 90 3429 0 0 0  0  0  1  0  0  0  509 1104  225 25  2 73
 0 0 0 6499164 7526092 57 817 0 0  0  0  0  0  0  0  0  508  929  267 25  1 74
 0 0 0 6499448 7526216 147 1828 0 0 0 0  0  0  0  0  0  532 1488  265 25  3 72
 0 0 0 6499164 7526084 147 1825 0 0 0 0  0  0  0  0  0  540 1500  313 25  3 72
 0 0 0 6460424 7487200 147 4250 0 0 0 0  0  0  0  0  0  494 1488  264 25  3 72
 0 0 0 6450456 7477356 147 1825 0 0 0 0  0  0  0  0  0  539 1504  319 25  3 72
 0 0 0 6450668 7477444 147 1826 0 1 1 0  0  1  0  0  0  552 1486  314 25  3 72
 0 0 0 6450416 7477336 147 1824 0 0 0 0  0  0  0  0  0  560 1500  313 25  3 72
 0 0 0 6450384 7477308 147 1824 0 0 0 0  0  0  0  0  0  545 1486  304 25  3 72
