Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
205,41,43,32,41,3567.2,3567.2,8662,8449,1535581,1535535,1535558,15625348,15624273,15624810.5,20926574,20916357,20921465.5,531574,436992,287457,465983,205.9,114.9,1.689,154.425,123.54,61.77,1.535558,15.6248105,20.9214655,5.31574,4.36992,2.87457,4.65983
210,41,43,32,41,3567.2,3567.2,8662,8449,1530464,1530510,1530487,14477578,14476832,14477205,18423301,18431589,18427445,392713,234948,358201,505481,206,115,1.651,154.5,123.6,61.8,1.530487,14.477205,18.427445,3.92713,2.34948,3.58201,5.05481
215,41,43,32,41,3567.2,3567.2,8662,8449,1539528,1539528,1539528,14324064,14320511,14322287.5,15405768,15405676,15405722,514491,404249,303006,187458,205.9,114.9,1.652,154.425,123.54,61.77,1.539528,14.3222875,15.405722,5.14491,4.04249,3.03006,1.87458
220,41,43,32,41,3567.2,3645.6,8662,8449,1575103,1575103,1575103,14736327,14741340,14738833.5,16453165,16464090,16458627.5,454510,370146,348103,282598,206,114.9,1.653,154.5,123.6,61.8,1.575103,14.7388335,16.4586275,4.5451,3.70146,3.48103,2.82598
225,41,43,32,41,3567.2,3567.2,8662,8449,1538790,1538790,1538790,17245669,17244522,17245095.5,23197278,23188519,23192898.5,443436,450434,317110,592346,206.1,114.9,1.652,154.575,123.66,61.83,1.53879,17.2450955,23.1928985,4.43436,4.50434,3.1711,5.92346
230,41,43,32,41,3567.2,3645.6,8662,8449,1521512,1521512,1521512,14947430,14947861,14947645.5,17172536,17171655,17172095.5,396315,275347,398634,365808,206.2,114.9,1.652,154.65,123.72,61.86,1.521512,14.9476455,17.1720955,3.96315,2.75347,3.98634,3.65808
235,41,43,32,41,3567.2,3567.2,8662,8449,1539121,1539121,1539121,15257797,15257398,15257597.5,20920985,20927555,20924270,475176,340504,265123,511100,206.3,114.9,1.657,154.725,123.78,61.89,1.539121,15.2575975,20.92427,4.75176,3.40504,2.65123,5.111
240,41,43,32,41,3488.8,3567.2,8449,8449,225282,225282,225282,4417282,4418003,4417642.5,6985181,6977902,6981541.5,113280,60246,64585,216252,206.4,114.9,1.651,154.8,123.84,61.92,0.225282,4.4176425,6.9815415,1.1328,0.60246,0.64585,2.16252
245,41,43,32,41,3567.2,3567.2,8662,8449,1535054,1535054,1535054,14204055,14203368,14203711.5,14932411,14933630,14933020.5,515619,415544,296075,185120,206.4,114.9,1.651,154.8,123.84,61.92,1.535054,14.2037115,14.9330205,5.15619,4.15544,2.96075,1.8512
250,41,44,32,41,3567.2,3567.2,8662,8449,1552225,1552225,1552225,15133514,15135282,15134398,16362936,16371902,16367419,488923,403482,305596,269802,206,114.8,1.688,154.5,123.6,61.8,1.552225,15.134398,16.367419,4.88923,4.03482,3.05596,2.69802
