Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
380,46,45,35,44,3567.2,3567.2,8662,8449,1519056,1519056,1519056,54266802,72181973,63224387.5,102164160,102160897,102162528.5,2939877,22966994,82175,802927,222.5,114.9,1.78,166.875,133.5,66.75,1.519056,63.2243875,102.1625285,29.39877,229.66994,0.82175,8.02927
385,46,45,35,43,3567.2,3567.2,8662,8662,438302,438262,438282,75854657,54331108,65092882.5,80013707,80017754,80015730.5,469935,25165306,1013602,144745,222.5,114.9,1.78,166.875,133.5,66.75,0.438282,65.0928825,80.0157305,4.69935,251.65306,10.13602,1.44745
390,47,45,35,43,3567.2,3645.6,8662,8449,1311758,1311798,1311778,88988165,75797430,82392797.5,106637163,106626526,106631844.5,24936381,434828,1120890,463205,222.6,114.9,1.779,166.95,133.56,66.78,1.311778,82.3927975,106.6318445,249.36381,4.34828,11.2089,4.63205
395,47,45,35,43,3488.8,3645.6,8662,8449,1531038,1531038,1531038,74205705,88991153,81598429,130165479,130174039,130169759,20459082,4177054,823692,1385696,222.6,114.9,1.781,166.95,133.56,66.78,1.531038,81.598429,130.169759,204.59082,41.77054,8.23692,13.85696
400,46,45,35,43,3567.2,3645.6,8662,8662,1552882,1552882,1552882,75973496,74200806,75087151,106143009,106138479,106140744,16861603,8572565,1086630,631175,222.7,114.9,1.78,167.025,133.62,66.81,1.552882,75.087151,106.140744,168.61603,85.72565,10.8663,6.31175
405,46,45,35,43,3567.2,3567.2,8662,8449,1571249,1571249,1571249,72695988,75974918,74335453,114076193,114075904,114076048.5,25018300,402092,949729,814964,222.8,114.9,1.782,167.1,133.68,66.84,1.571249,74.335453,114.0760485,250.183,4.02092,9.49729,8.14964
410,46,45,35,43,3567.2,3567.2,8875,8662,1569066,1569066,1569066,74229262,72694498,73461880,104131038,104131592,104131315,20768279,4630439,1122048,475546,222.3,114.9,1.859,166.725,133.38,66.69,1.569066,73.46188,104.131315,207.68279,46.30439,11.22048,4.75546
415,47,45,35,43,3567.2,3567.2,8662,8449,1559925,1559925,1559925,69040389,74228346,71634367.5,106692593,106692840,106692716.5,17740583,7380620,733609,397603,222.3,114.9,1.797,166.725,133.38,66.69,1.559925,71.6343675,106.6927165,177.40583,73.8062,7.33609,3.97603
420,46,45,35,43,3567.2,3645.6,8449,8662,1555890,1555925,1555907.5,76340804,69044588,72692696,98727462,98754836,98741149,438562,24980907,482224,542353,222.5,114.9,1.784,166.875,133.5,66.75,1.5559075,72.692696,98.741149,4.38562,249.80907,4.82224,5.42353
425,47,44,35,43,3567.2,3567.2,8662,8662,1529359,1529324,1529341.5,68818749,76342834,72580791.5,111718983,111705360,111712171.5,25292097,478117,908272,1108996,222.5,114.9,1.779,166.875,133.5,66.75,1.5293415,72.5807915,111.7121715,252.92097,4.78117,9.08272,11.08996
430,45,46,35,43,3567.2,3567.2,8662,8449,1448522,1430280,1439401,82357476,68813405,75585440.5,99605856,99459844,99532850,25180122,340965,2000243,233438,222.4,114.8,1.779,166.8,133.44,66.72,1.439401,75.5854405,99.53285,251.80122,3.40965,20.00243,2.33438
435,45,46,35,43,3488.8,3567.2,8662,8449,314567,332809,323688,77392217,82355889,79874053,124350686,124509520,124430103,255668,24026014,536230,214267,222.5,114.9,1.781,166.875,133.5,66.75,0.323688,79.874053,124.430103,2.55668,240.26014,5.3623,2.14267
440,45,47,35,44,3567.2,3567.2,8662,8449,1550750,1550750,1550750,76749538,77399572,77074555,110106806,110083843,110095324.5,24888759,433448,832980,1005149,222.6,114.9,1.78,166.95,133.56,66.78,1.55075,77.074555,110.0953245,248.88759,4.33448,8.3298,10.05149
445,45,47,35,44,3567.2,3567.2,8662,8449,1533459,1533459,1533459,69079462,76749586,72914524,107941783,107936786,107939284.5,20669028,4635623,685535,668647,222.6,115,1.777,166.95,133.56,66.78,1.533459,72.914524,107.9392845,206.69028,46.35623,6.85535,6.68647
