 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676084 7721856 136 1823 0 0 0 0  0  0  0  0  0  526 1507  283 25  3 72
 0 0 0 6676316 7721952 137 1827 0 1 1 0  0  0  0  0  0  532 1493  270 25  3 72
 0 0 0 6676064 7721836 136 1824 0 0 0 0  0  1  0  0  0  516 1508  270 25  3 72
 0 0 0 6676040 7721804 157 1985 0 1 1 0  0  0  0  0  0  574 1954  287 25  3 72
 0 0 0 6676376 7721988 116 1481 0 0 0 0  0  0  0  0  0  500 1352  249 25  3 72
 0 0 0 6676376 7721988 21 343 0 0  0  0  0  0  0  0  0  430  688  218 25  0 75
 0 0 0 6676092 7721848 136 1825 0 0 0 0  0  0  0  0  0  538 1571  316 25  3 72
 0 0 0 6676376 7721984 136 1825 0 0 0 0  0  0  0  0  0  536 1493  276 25  3 72
 0 0 0 6676120 7721876 137 1826 0 1 1 0  0  0  0  0  0  517 1509  278 25  3 72
 0 0 0 6676376 7721984 136 1822 0 0 0 0  0  0  0  0  0  524 1493  284 25  3 72
 0 0 0 6676376 7721984 136 1826 0 0 0 0  0  0  0  0  0  517 1507  269 25  3 72
 0 0 0 6676092 7721840 136 1827 0 0 0 0  0  0  0  0  0  541 1497  285 25  3 72
 0 0 0 6676376 7721972 136 1823 0 0 0 0  0  0  0  0  0  521 1508  286 25  3 72
 0 0 0 6676068 7721824 137 1825 0 1 1 0  0  0  0  0  0  554 1496  276 25  3 72
 0 0 0 6676352 7721944 85 1012 0 0 0  0  0  0  0  0  0  493 1144  228 25  3 72
 0 0 0 6676352 7721944 52 814 0 0  0  0  0  0  0  0  0  453  897  228 25  1 74
 0 0 0 6676096 7721836 136 1827 0 0 0 0  0  0  0  0  0  513 1506  271 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676352 7721940 136 1825 0 0 0 0  0  0  0  0  0  537 1498  279 25  3 72
 0 0 0 6676100 7721832 136 1823 0 0 0 0  0  0  0  0  0  540 1507  269 25  3 72
 0 0 0 6676068 7721804 137 1826 0 1 1 0  0  1  0  0  0  531 1490  272 25  3 72
 0 0 0 6676352 7721936 136 1826 0 0 0 0  0  1  0  0  0  540 1509  285 25  3 72
 0 0 0 6676068 7721792 136 1823 0 0 0 0  0  1  0  0  0  538 1493  280 25  3 72
 0 0 0 6676352 7721928 136 1826 0 0 0 0  0  0  0  0  0  521 1505  275 25  3 72
 0 0 0 6676096 7721820 136 1824 0 0 0 0  0  0  0  0  0  531 1494  275 25  3 72
 0 0 0 6676328 7721916 84 1009 0 0 0  0  0  0  0  0  0  498 1143  230 25  2 72
 0 0 0 6676328 7721916 52 817 0 0  0  0  0  0  0  0  0  487  899  223 25  1 74
 0 0 0 6676076 7721800 136 1825 0 0 0 0  0  0  0  0  0  540 1506  278 25  3 72
 0 0 0 6676044 7721768 136 1826 0 0 0 0  0  0  0  0  0  519 1492  272 25  3 72
 0 0 0 6676328 7721904 136 1822 0 0 0 0  0  0  0  0  0  521 1503  267 25  3 72
 0 0 0 6676044 7721768 136 1826 0 0 0 0  0  0  0  0  0  531 1495  276 25  3 72
 0 0 0 6676328 7721900 136 1825 0 0 0 0  0  0  0  0  0  530 1573  307 25  3 72
 0 0 0 6676072 7721784 137 1825 0 1 1 0  0  1  0  0  0  561 1494  285 25  3 72
 0 0 0 6676328 7721892 136 1826 0 0 0 0  0  0  0  0  0  534 1507  270 25  3 72
 0 0 0 6676076 7721784 136 1824 0 0 0 0  0  0  0  0  0  540 1492  281 25  3 72
 0 0 0 6676328 7721888 84 1008 0 0 0  0  0  0  0  0  0  490 1135  236 25  2 73
 0 0 0 6676044 7721752 52 817 0 0  0  0  0  0  0  0  0  485  907  229 25  1 74
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676308 7721876 136 1825 0 0 0 0  0  0  0  0  0  510 1507  270 25  3 72
 0 0 0 6676068 7721752 136 1824 0 0 0 0  0  0  0  0  0  519 1491  275 25  3 72
 0 0 0 6676304 7721864 137 1827 0 1 1 0  0  1  0  0  0  530 1506  267 25  3 72
 0 0 0 6676048 7721756 136 1823 0 0 0 0  0  0  0  0  0  519 1491  271 25  3 72
 0 0 0 6676304 7721852 136 1827 0 0 0 0  0  0  0  0  0  507 1508  274 25  3 72
 0 0 0 6676052 7721744 136 1824 0 0 0 0  0  0  0  0  0  531 1492  274 25  3 72
 0 0 0 6676020 7721716 136 1825 0 0 0 0  0  0  0  0  0  533 1511  270 25  4 71
 0 0 0 6676304 7721852 137 1826 0 1 1 0  0  1  0  0  0  552 1499  269 25  3 72
 0 0 0 6676048 7721744 29 251 0 0  0  0  0  0  0  0  0  455  737  195 25  1 74
 0 0 0 6676304 7721852 107 1573 0 0 0 0  0  0  0  0  0  491 1304  260 25  2 73
 0 0 0 6676304 7721848 137 1826 0 0 0 0  0  0  0  0  0  512 1504  269 25  3 72
 0 0 0 6676028 7721728 136 1824 0 0 0 0  0  0  0  0  0  533 1495  283 25  3 72
 0 0 0 6675996 7721700 136 1827 0 0 0 0  0  0  0  0  0  528 1514  267 25  3 72
 0 0 0 6676280 7721824 136 1825 0 0 0 0  0  1  0  0  0  534 1488  274 25  3 72
 0 0 0 6675996 7721684 136 1824 0 0 0 0  0  0  0  0  0  506 1504  275 25  3 72
 0 0 0 6676280 7721820 136 1825 0 0 0 0  0  0  0  0  0  507 1500  279 25  3 72
 0 0 0 6676024 7721712 136 1825 0 0 0 0  0  0  0  0  0  531 1504  273 25  3 72
 0 0 0 6676280 7721816 136 1824 0 0 0 0  0  0  0  0  0  529 1491  279 25  3 72
 0 0 0 6676028 7721704 16 93 0  0  0  0  0  1  0  0  0  438  727  236 25  1 74
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676280 7721808 121 1731 0 0 0 0  0  0  0  0  0  536 1378  270 25  2 73
 0 0 0 6675992 7721672 137 1825 0 1 1 0  0  1  0  0  0  526 1520  274 25  3 72
 0 0 0 6676272 7721804 136 1825 0 0 0 0  0  0  0  0  0  516 1495  275 25  3 72
