Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
1640 35 35 26 18 21 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
1648 30 37 26 18 21 3150 7575 5250 7500 5325 7500 5250 7950 5250 54h
1656 29 38 26 18 21 3150 7575 5250 7500 5400 7500 5250 7875 5250 54h
1664 31 38 26 18 21 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
1672 30 37 26 18 21 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
1680 30 36 26 18 21 3150 7575 5325 7425 5325 7500 5325 7875 5250 54h
1688 32 39 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5325 54h
1696 29 39 26 18 21 3150 7650 5250 7500 5400 7575 5250 7950 5250 54h
1704 28 39 26 18 21 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
1712 32 41 26 18 21 3225 7575 5250 7500 5400 7575 5250 7950 5250 54h
1720 31 35 26 18 21 3150 7575 5325 7500 5400 7575 5325 7875 5250 54h
1728 30 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1736 30 41 26 18 21 3150 7575 5250 7500 5325 7500 5250 7875 5250 54h
1744 32 38 26 18 21 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
1752 31 39 26 18 21 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
1760 32 39 26 18 21 3150 7650 5250 7425 5400 7575 5250 7950 5250 54h
1768 31 38 26 18 21 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
1776 33 37 26 18 21 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
1784 33 38 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1792 34 38 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1800 32 36 26 18 21 3150 7575 5250 7425 5400 7500 5325 7875 5175 54h
1808 32 35 26 18 21 3150 7575 5250 7500 5400 7500 5175 7875 5250 54h
1816 33 35 26 18 21 3150 7575 5250 7425 5325 7575 5325 7875 5250 54h
1824 33 35 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1832 33 34 26 18 21 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
1840 33 33 26 18 21 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
1848 34 33 26 18 21 3150 7575 5250 7425 5325 7500 5250 7950 5250 54h
1856 31 36 26 18 20 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
1864 34 38 26 18 21 3150 7575 5250 7500 5400 7500 5250 7875 5250 54h
1872 33 34 26 18 21 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
1880 31 37 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1888 39 34 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
1896 30 37 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
1904 33 34 26 18 21 3150 7650 5250 7425 5400 7575 5250 7875 5250 54h
1912 31 40 26 18 21 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
1920 33 34 26 18 21 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
1928 30 37 26 18 21 3150 7575 5250 7500 5325 7575 5250 7875 5175 54h
1936 32 38 26 18 21 3150 7575 5250 7425 5325 7575 5250 7950 5175 54h
1944 34 37 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
1952 33 38 26 18 21 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
1960 34 39 26 18 21 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
1968 33 37 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1976 33 39 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5325 54h
1984 38 37 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
1992 31 38 26 18 21 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
2000 34 36 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
2008 35 35 26 18 21 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
2016 33 35 26 18 21 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
2024 34 35 26 18 21 3150 7500 5250 7500 5325 7575 5250 7950 5250 54h
2032 36 34 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
2040 33 36 26 18 21 3150 7575 5325 7500 5325 7575 5325 7875 5250 54h
2048 31 38 26 18 21 3150 7575 5250 7500 5400 7500 5250 7875 5250 54h
2056 30 37 26 18 21 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
2064 33 34 26 18 21 3150 7575 5250 7425 5325 7500 5325 7950 5250 54h
2072 34 36 26 18 21 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
2080 31 37 26 18 21 3150 7575 5250 7425 5400 7500 5325 7875 5250 54h
2088 31 38 26 18 21 3150 7575 5250 7425 5325 7575 5325 7875 5250 54h
2096 31 38 26 18 21 3150 7575 5250 7425 5325 7575 5325 7875 5250 54h
2104 30 34 26 18 21 3225 7575 5250 7500 5400 7575 5175 7875 5250 54h
2112 29 34 26 18 21 3150 7575 5325 7500 5400 7575 5325 7875 5250 54h
