 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10812464 7667272 92 2178 0 0 0 0  0  0  0  0  0  470 1567  276  0  3 97
 0 0 0 10812704 7667412 93 2178 0 0 0 0  0  3  0  0  0  513 1568  324  0  3 97
 0 0 0 10812512 7667348 97 2181 0 0 0 0  0 16  0  0  0  507 1566  285  0  3 97
 0 0 0 10812684 7667320 92 2179 0 0 0 0  0  0  0  0  0  502 1570  272  0  3 97
 0 0 0 10812472 7667260 95 2176 0 0 0 0  0  0  0  0  0  462 1567  263  0  3 97
 0 0 0 10812684 7667352 92 2179 0 0 0 0  0  0  0  0  0  466 1570  277  0  3 97
 0 0 0 10812680 7667316 92 2178 0 0 0 0  0  0  0  0  0  482 1565  281  0  3 97
 0 0 0 10812440 7667228 94 2181 0 0 0 0  0  2  0  0  0  496 1659  353  0  3 97
 0 0 0 10812644 7667280 91 2177 0 0 0 0  0 10  0  0  0  487 1565  282  0  3 97
 0 0 0 10812436 7667224 92 2177 0 0 0 0  0  0  0  0  0  463 1565  267  0  3 97
 0 0 0 10812632 7667328 92 2178 0 0 0 0  0  0  0  0  0  471 1568  270  0  3 97
 0 0 0 10812416 7667232 96 2179 0 0 0 0  0  0  0  0  0  629 1571  276  0  3 97
 0 0 0 10812380 7667160 92 2179 0 0 0 0  0  0  0  0  0  483 1571  274  0  3 97
 0 0 0 10812620 7667296 94 2179 0 0 0 0  0  2  0  0  0  515 1569  311  0  3 97
 0 0 0 10812380 7667176 96 2179 0 0 0 0  0 10  0  0  0  497 1565  288  0  3 97
 0 0 0 10812620 7667248 92 2179 0 0 0 0  0  0  0  0  0  464 1566  278  0  3 97
 0 0 0 10812412 7667192 95 2177 0 0 0 0  0  0  0  0  0  487 1568  276  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10812696 7667312 92 2180 0 0 0 0  0  0  0  0  0  482 1571  292  0  3 97
 0 0 0 10812620 7667248 92 2175 0 0 0 0  0  0  0  0  0  484 1563  271  0  3 97
 0 0 0 10812380 7667160 97 2183 0 0 0 0  0  2  0  0  0  504 1574  325  0  3 97
 0 0 0 10812620 7667248 92 2177 0 0 0 0  0 15  0  0  0  474 1565  284  0  3 97
 0 0 0 10812580 7667248 92 2175 0 0 0 0  0  0  0  0  0  458 1567  269  0  3 97
 0 0 0 10812608 7667296 92 2181 0 0 0 0  0  0  0  0  0  449 1571  266  0  3 97
 0 0 0 10812392 7667200 96 2179 0 0 0 0  0  0  0  0  0  491 1570  284  0  3 97
 0 0 0 10812356 7667128 92 2179 0 0 0 0  0  0  0  0  0  474 1568  288  0  3 97
 0 0 0 10812596 7667224 97 2179 0 0 0 0  0  4  0  0  0  523 1567  345  0  3 97
 0 0 0 10812324 7667100 92 2178 0 0 0 0  0 10  0  0  0  493 1564  290  0  3 97
 0 0 0 10812564 7667184 92 2183 0 0 0 0  0  0  0  0  0  477 1568  267  0  3 97
 0 0 0 10812284 7667056 96 2180 0 0 0 0  0  0  0  0  0  469 1567  271  0  3 97
 0 0 0 10812492 7667112 92 2183 0 0 0 0  0  0  0  0  0  488 1570  286  0  3 97
 0 0 0 10812492 7667112 91 2181 0 0 0 0  0  0  0  0  0  502 1568  280  0  3 97
 0 0 0 10812224 7667016 98 2186 0 0 0 0  0  3  0  0  0  544 1655  375  0  3 97
 0 0 0 10812464 7667084 92 2185 0 0 0 0  0 14  0  0  0  503 1567  276  0  3 97
 0 0 0 10812428 7667100 92 2186 0 0 0 0  0  0  0  0  0  487 1568  275  0  3 97
