 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975780 6007192 16 93 0  0  0  0  0  1  0  0  0  437  642  205 25  1 74
 0 0 0 4975780 6007192 120 1730 0 0 0 0  0  1  0  0  0  499 1389  276 25  3 72
 0 0 0 4975712 6007168 136 1825 0 0 0 0  0  0  0  0  0  510 1503  287 25  3 72
 0 0 0 4975780 6007188 136 1825 0 0 0 0  0  0  0  0  0  506 1489  281 25  3 72
 0 0 0 4975528 6007080 136 1825 0 0 0 0  0  0  0  0  0  504 1505  287 25  3 72
 0 0 0 4975804 6007208 136 1824 0 0 0 0  0  0  0  0  0  502 1487  281 25  3 72
 0 0 0 4975756 6007176 137 1826 0 1 1 0  0  0  0  0  0  531 1503  291 25  3 72
 0 0 0 4975472 6007028 136 1824 0 0 0 0  0  1  0  0  0  520 1487  287 25  3 72
 0 0 0 4975756 6007160 136 1823 0 0 0 0  0  0  0  0  0  507 1502  290 25  3 72
 0 0 0 4975500 6007052 137 1826 0 0 0 0  0  0  0  0  0  514 1493  288 25  3 72
 0 0 0 4975756 6007156 16 93 0  0  0  0  0  0  0  0  0  411  593  202 25  0 75
 0 0 0 4975756 6007156 121 1732 0 0 0 0  0  0  0  0  0  497 1433  277 25  3 72
 0 0 0 4975504 6007052 136 1824 0 0 0 0  0  0  0  0  0  532 1506  291 25  3 72
 0 0 0 4975472 6007024 136 1825 0 0 0 0  0  1  0  0  0  528 1494  291 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975756 6007160 136 1824 0 0 0 0  0  0  0  0  0  511 1502  281 25  3 72
 0 0 0 4975472 6007024 136 1823 0 0 0 0  0  0  0  0  0  514 1489  294 25  3 72
 0 0 0 4975756 6007156 136 1824 0 0 0 0  0  0  0  0  0  509 1501  290 25  3 72
 0 0 0 4975476 6007036 136 1823 0 1 1 0  0  0  0  0  0  495 1485  289 25  3 72
 0 0 0 4975732 6007136 137 1828 0 0 0 0  0  1  0  0  0  515 1507  287 25  3 72
 0 0 0 4975480 6007016 84 1008 0 0 0  0  0  1  0  0  0  462 1119  240 25  3 72
 0 0 0 4975732 6007124 52 817 0 0  0  0  0  0  0  0  0  453  907  224 25  1 74
 0 0 0 4975448 6006988 136 1825 0 0 0 0  0  0  0  0  0  514 1490  291 25  3 72
 0 0 0 4975732 6007120 136 1826 0 0 0 0  0  0  0  0  0  511 1500  289 25  3 72
 0 0 0 4975716 6007128 136 1823 0 0 0 0  0  0  0  0  0  499 1555  308 25  3 72
 0 0 0 4975732 6007120 137 1826 0 1 1 0  0  0  0  0  0  522 1505  293 25  3 72
 0 0 0 4975480 6007012 136 1827 0 0 0 0  0  4  0  0  0  532 1506  296 25  3 72
 0 0 0 4975688 6007132 136 1823 0 0 0 0  0  0  0  0  0  512 1503  285 25  3 72
