pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
375.002   0  tick 4986666454         0 4986666451 
375.002   2  tick         0 4986646319         0 
375.002   3  tick         0 4986697421         0 
380.002   1  tick 4986710151         0 4986710150 
380.002   3  tick         0 4986674307         0 
380.002   2  tick         0 4986704512         0 
380.002   0  tick 4986721050         0 4986721053 
385.002   0  tick 4986625547         0 4986625547 
385.002   2  tick         0 4986635472         0 
385.002   3  tick         0 4986662903         0 
385.012   1  tick 4996497209         0 4996497210 
390.002   1  tick 4976835221         0 4976835226 
390.002   2  tick         0 4986697505         0 
390.002   3  tick         0 4986680170         0 
390.002   0  tick 4986710935         0 4986710935 
395.002   1  tick 4986657143         0 4986657143 
395.002   0  tick 4986643845         0 4986643845 
395.002   3  tick         0 4986670719         0 
395.002   2  tick         0 4986677974         0 
400.002   1  tick 4986653247         0 4986653241 
400.002   0  tick 4986652564         0 4986652556 
400.002   3  tick         0 4986633144         0 
400.002   2  tick         0 4986659866         0 
405.002   1  tick 4986672104         0 4986672104 
405.002   0  tick 4986672520         0 4986672528 
405.002   2  tick         0 4986644355         0 
405.002   3  tick         0 4986700722         0 
410.002   3  tick         0 4986643321         0 
410.002   2  tick         0 4986675805         0 
410.002   0  tick 4986689881         0 4986689875 
410.002   1  tick 4986695554         0 4986695562 
415.002   1  tick 4986645454         0 4986645454 
415.002   0  tick 4986653176         0 4986653176 
415.002   2  tick         0 4986667059         0 
415.002   3  tick         0 4986697720         0 
420.002   1  tick 4986671226         0 4986671219 
420.002   0  tick 4986667847         0 4986667846 
420.002   2  tick         0 4986672160         0 
420.002   3  tick         0 4986669143         0 
425.002   1  tick 4986674576         0 4986674583 
425.002   3  tick         0 4986647581         0 
425.002   2  tick         0 4986696332         0 
425.002   0  tick 4986699575         0 4986699582 
430.002   0  tick 4986643815         0 4986643813 
430.002   3  tick         0 4986669485         0 
430.002   1  tick 4986689802         0 4986689804 
430.002   2  tick         0 4986670088         0 
435.002   1  tick 4986680150         0 4986680146 
435.002   3  tick         0 4986699707         0 
435.002   0  tick 4986712318         0 4986712321 
435.002   2  tick         0 4986813542         0 
440.002   1  tick 4986640050         0 4986640046 
440.002   0  tick 4986638690         0 4986638681 
440.002   3  tick         0 4986643303         0 
440.002   2  tick         0 4986526905         0 
445.002   1  tick 4986693446         0 4986693453 
