 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6511660 7539940 147 1823 0 0 0 0  0  0  0  0  0  499 1487  270 25  3 72
 0 0 0 6511712 7539940 148 1827 0 0 0 0  0  0  0  0  0  496 1505  269 25  3 72
 0 0 0 6511412 7539784 148 1830 0 0 0 0  0  0  0  0  0  495 1488  267 25  3 72
 0 0 0 6511628 7539852 148 1826 0 1 1 0  0  0  0  0  0  524 1500  273 25  3 72
 0 0 0 6511628 7539860 148 1827 0 0 0 0  0  0  0  0  0  509 1486  296 25  3 72
 0 0 0 6511604 7539828 148 1828 0 0 0 0  0  0  0  0  0  497 1506  275 25  3 72
 0 0 0 6511348 7539712 148 1824 0 0 0 0  0  0  0  0  0  513 1486  293 25  3 72
 0 0 0 6511416 7539772 148 1827 0 0 0 0  0  0  0  0  0  500 1505  268 25  3 72
 0 0 0 6511476 7539688 90 1016 0 2 2  0  0  0  0  0  0  456 1090  229 25  2 73
 0 0 0 6511432 7539648 58 817 0 0  0  0  0  1  0  0  0  483  944  251 25  1 74
 0 0 0 6511148 7539512 148 1825 0 0 0 0  0  0  0  0  0  502 1485  267 25  3 72
 0 0 0 6511404 7539628 148 1827 0 0 0 0  0  0  0  0  0  504 1506  273 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6511144 7539508 148 1827 0 0 0 0  0  0  0  0  0  498 1489  266 25  3 72
 0 0 0 6511400 7539620 147 1825 0 0 0 0  0  0  0  0  0  507 1500  293 25  3 72
 0 0 0 6511120 7539484 148 1833 0 0 0 0  0  0  0  0  0  493 1491  267 25  3 72
 0 0 0 6511272 7539500 148 1827 0 1 1 0  0  1  0  0  0  523 1502  269 25  3 72
 0 0 0 6511208 7539428 148 1828 0 0 0 0  0  0  0  0  0  500 1489  267 25  3 72
 0 0 0 6510916 7539272 148 1828 0 0 0 0  0  0  0  0  0  514 1505  285 25  3 72
 0 0 0 6511200 7539408 90 1008 0 0 0  0  0  0  0  0  0  446 1067  226 25  2 73
 0 0 0 6511200 7539408 57 817 0 0  0  0  0  0  0  0  0  452 1025  259 25  1 73
 0 0 0 6510944 7539288 148 1826 0 0 0 0  0  0  0  0  0  483 1485  269 25  3 72
 0 0 0 6511256 7539464 148 1827 0 1 1 0  0  0  0  0  0  544 1526  284 25  3 72
 0 0 0 6510976 7539328 148 1835 0 0 0 0  0  0  0  0  0  501 1491  270 25  3 72
 0 0 0 6510780 7539124 148 1828 0 0 0 0  0  0  0  0  0  494 1504  273 25  3 72
 0 0 0 6511064 7539264 148 1824 0 0 0 0  0  0  0  0  0  495 1489  272 25  3 72
 0 0 0 6510680 7539020 148 1839 0 0 0 0  0  0  0  0  0  497 1511  273 25  3 72
 0 0 0 6510792 7538988 148 1827 0 0 0 0  0  0  0  0  0  491 1487  268 25  3 72
 0 0 0 6510508 7538860 148 1827 0 1 1 0  0  0  0  0  0  522 1505  270 25  3 72
 0 0 0 6510752 7538940 45 526 0 0  0  0  0  0  0  0  0  438  825  202 25  1 74
 0 0 0 6510720 7538916 103 1302 0 0 0 0  0  0  0  0  0  470 1207  243 25  2 73
 0 0 0 6510468 7538808 148 1825 0 0 0 0  0  0  0  0  0  500 1489  267 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6510436 7538772 148 1825 0 0 0 0  0  0  0  0  0  505 1500  267 25  3 72
 0 0 0 6510720 7538912 148 1825 0 0 0 0  0  0  0  0  0  491 1492  270 25  3 72
 0 0 0 6510436 7538776 148 1827 0 1 1 0  0  0  0  0  0  524 1504  277 25  3 72
 0 0 0 6510720 7538908 148 1825 0 0 0 0  0  0  0  0  0  496 1486  265 25  3 72
 0 0 0 6510464 7538792 148 1826 0 0 0 0  0  0  0  0  0  503 1506  273 25  3 72
 0 0 0 6510720 7538900 148 1826 0 0 0 0  0  0  0  0  0  494 1488  268 25  3 72
 0 0 0 6510460 7538784 148 1827 0 0 0 0  0  0  0  0  0  495 1501  271 25  3 72
 0 0 0 6510664 7538852 16 94 0  2  2  0  0  0  0  0  0  417  639  187 25  1 74
