 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 5884540 6937768 148 1841 0 0 0 0  0  0  0  0  0  513 1489  318 25  3 72
 0 0 0 6348272 7421280 55 4929 0 0 0  0  0  0  0  0  0  454  701  232 22  4 74
 0 0 0 6657168 7709516 132 1747 0 0 0 0  0  0  0  0  0  535 1374  303 25  2 73
 0 0 0 6657404 7709608 148 1839 0 0 0 0  0  0  0  0  0  520 1502  271 25  3 72
 0 0 0 6655592 7708108 148 1909 0 0 0 0  0  0  0  0  0  548 1488  309 25  3 72
 0 0 0 6655560 7708080 148 1841 0 0 0 0  0  1  0  0  0  517 1501  266 25  3 72
 0 0 0 6655844 7708216 148 1839 0 0 0 0  0  0  0  0  0  503 1487  267 25  3 72
 0 0 0 6654304 7706276 148 1954 0 0 0 0  0  0  0  0  0  497 1572  306 25  3 72
 0 0 0 6654272 7705964 148 1839 0 0 0 0  0  0  0  0  0  531 1486  270 25  3 72
 0 0 0 6654016 7705844 148 1841 0 0 0 0  0  0  0  0  0  556 1518  318 25  3 72
 0 0 0 6654272 7705948 148 1838 0 1 1 0  0  1  0  0  0  533 1485  273 25  3 72
 0 0 0 6654020 7705836 16 94 0  0  0  0  0  1  0  0  0  470  634  225 25  1 74
 0 0 0 6654272 7705944 132 1744 0 0 0 0  0  0  0  0  0  517 1393  268 25  3 72
 0 0 0 6653988 7705808 148 1841 0 0 0 0  0  0  0  0  0  577 1505  385 25  3 72
 0 0 0 6654248 7705928 148 1841 0 0 0 0  0  0  0  0  0  507 1489  274 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6654204 7705920 148 1839 0 0 0 0  0  0  0  0  0  505 1499  279 25  3 72
 0 0 0 6654248 7705916 148 1839 0 0 0 0  0  0  0  0  0  518 1486  269 25  3 72
 0 0 0 6653992 7705808 148 1842 0 1 1 0  0  0  0  0  0  523 1503  267 25  3 72
 0 0 0 6670952 7728292 154 6695 0 0 0 0  0  0  0  0  0  523 1526  267 24  4 72
 0 0 0 6657376 7709044 148 1840 0 0 0 0  0  0  0  0  0  524 1507  274 25  3 72
 0 0 0 6657080 7708892 147 1830 0 0 0 0  0  0  0  0  0  524 1478  333 25  3 72
 0 0 0 6657360 7709024 0  8  0  0  0  0  0  0  0  0  0  432  554  188 25  0 75
 0 0 0 6657360 7709020 148 1839 0 0 0 0  0  0  0  0  0  516 1487  265 25  3 72
 0 0 0 6657104 7708904 148 1841 0 1 1 0  0  0  0  0  0  523 1501  272 25  3 72
 0 0 0 6657360 7709016 148 1839 0 0 0 0  0  0  0  0  0  507 1488  269 25  3 72
 0 0 0 6657108 7708908 147 1838 0 0 0 0  0  0  0  0  0  535 1503  272 25  3 72
 0 0 0 6657052 7708864 148 1843 0 0 0 0  0  0  0  0  0  496 1489  269 25  3 72
 0 0 0 6657336 7708984 148 1839 0 0 0 0  0  0  0  0  0  526 1500  272 25  3 72
 0 0 0 6655496 7707276 148 1918 0 1 1 0  0  0  0  0  0  537 1488  264 25  3 72
 0 0 0 6655780 7707408 148 1840 0 0 0 0  0  1  0  0  0  532 1500  270 25  3 72
 0 0 0 6655524 7707300 90 1017 0 0 0  0  0  0  0  0  0  482 1119  227 25  2 72
 0 0 0 6655780 7707404 58 824 0 0  0  0  0  0  0  0  0  482  979  258 25  1 74
 0 0 0 6655772 7707392 148 1840 0 0 0 0  0  1  0  0  0  532 1487  265 25  3 72
 0 0 0 6655520 7707284 148 1839 0 0 0 0  0  0  0  0  0  522 1503  274 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6655488 7707256 148 1841 0 0 0 0  0  0  0  0  0  532 1487  268 25  3 72
 0 0 0 6655772 7707392 148 1840 0 0 0 0  0  0  0  0  0  502 1501  272 25  3 72
 0 0 0 6655584 7707336 148 1839 0 0 0 0  0  0  0  0  0  512 1488  270 25  3 72
 0 0 0 6655748 7707380 148 1840 0 0 0 0  0  0  0  0  0  499 1506  268 25  3 72
 0 0 0 6655492 7707264 148 1840 0 0 0 0  0  1  0  0  0  530 1487  265 25  3 72
 0 0 0 6655560 7707332 148 1839 0 0 0 0  0  0  0  0  0  525 1499  274 25  3 72
 0 0 0 6655116 7706732 91 1096 0 1 1  0  0  0  0  0  0  471 1082  226 25  2 73
 0 0 0 6654176 7705780 88 986 0 1  1  0  0  2  0  0  0  504 1407  235 25  1 73
 0 0 0 6653892 7705640 148 1839 0 0 0 0  0  0  0  0  0  514 1485  264 25  3 72
 0 0 0 6654176 7705776 148 1842 0 0 0 0  0  0  0  0  0  523 1506  273 25  3 72
 0 0 0 6653992 7705724 148 1838 0 0 0 0  0  1  0  0  0  528 1485  266 25  3 72
 0 0 0 6654176 7705776 148 1841 0 0 0 0  0  0  0  0  0  512 1501  271 25  3 72
 0 0 0 6653924 7705668 148 1839 0 1 1 0  0  0  0  0  0  512 1487  269 25  3 72
 0 0 0 6653892 7705632 148 1840 0 0 0 0  0  1  0  0  0  538 1500  271 25  3 72
 0 0 0 6654176 7705768 148 1840 0 0 0 0  0  0  0  0  0  518 1488  265 25  3 72
 0 0 0 6653868 7705620 148 1841 0 0 0 0  0  0  0  0  0  503 1513  278 25  3 72
 0 0 0 6654144 7705732 17 98 0  0  0  0  0  0  0  0  0  429  641  177 25  1 74
 0 0 0 6654144 7705732 131 1743 0 0 0 0  0  0  0  0  0  503 1386  270 25  2 73
 0 0 0 6653888 7705624 148 1841 0 0 0 0  0  0  0  0  0  499 1488  266 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6099460 7207312 548 44991 0 1 1 0 0  1  0  0  0 1425 1552  269 21  7 72
 0 0 0 5887532 6937864 148 1841 0 0 0 0  0  0  0  0  0  498 1488  267 25  3 72
 0 0 0 5887248 6937724 148 1841 0 0 0 0  0  0  0  0  0  528 1570  306 25  3 72
 0 0 0 5887532 6937860 148 1839 0 0 0 0  0  0  0  0  0  518 1486  263 25  3 72
 0 0 0 5887488 6937844 148 1840 0 0 0 0  0  0  0  0  0  499 1505  278 25  3 72
 0 0 0 5887532 6937852 148 1839 0 0 0 0  0  0  0  0  0  510 1489  270 25  3 72
 0 0 0 5887276 6937744 148 1840 0 0 0 0  0  0  0  0  0  510 1502  266 25  3 72
 0 0 0 5887508 6937840 16 95 0  0  0  0  0  0  0  0  0  401  617  187 25  1 74
 0 0 0 5887396 6937836 132 1746 0 0 0 0  0  0  0  0  0  510 1414  267 25  3 72
 0 0 0 5887508 6937824 148 1841 0 0 0 0  0  1  0  0  0  506 1487  259 25  3 72
 0 0 0 5887224 6937680 148 1839 0 0 0 0  0  0  0  0  0  524 1500  272 25  3 72
 0 0 0 5887508 6937816 148 1841 0 0 0 0  0  0  0  0  0  526 1488  265 25  3 72
 0 0 0 5887432 6937788 148 1839 0 1 1 0  0  1  0  0  0  523 1501  274 25  3 72
 0 0 0 5885936 6936440 148 1909 0 0 0 0  0  0  0  0  0  521 1488  264 25  3 72
 0 0 0 5885684 6936324 148 1841 0 0 0 0  0  0  0  0  0  520 1509  270 25  3 72
 0 0 0 5885888 6936428 148 1840 0 0 0 0  0  0  0  0  0  526 1490  266 25  3 72
 0 0 0 5885928 6936428 148 1839 0 0 0 0  0  0  0  0  0  521 1511  272 25  3 72
 0 0 0 5885928 6936428 16 94 0  1  1  0  0  0  0  0  0  447  591  181 25  0 75
 0 0 0 5885644 6936292 132 1747 0 0 0 0  0  0  0  0  0  515 1436  264 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 5885904 6936416 148 1841 0 0 0 0  0  0  0  0  0  502 1489  264 25  3 72
 0 0 0 5885648 6936288 148 1842 0 0 0 0  0  0  0  0  0  497 1508  269 25  3 72
 0 0 0 5885904 6936404 148 1839 0 0 0 0  0  0  0  0  0  488 1487  267 25  3 72
 0 0 0 5885652 6936292 148 1840 0 0 0 0  0  0  0  0  0  532 1502  269 25  3 72
 0 0 0 5885620 6936252 148 1842 0 1 1 0  0  0  0  0  0  534 1488  261 25  3 72
 0 0 0 5885904 6936388 148 1839 0 0 0 0  0  0  0  0  0  531 1501  271 25  3 72
 0 0 0 5885620 6936252 147 1837 0 0 0 0  0  0  0  0  0  519 1485  266 25  3 72
 0 0 0 5884644 6935288 103 1231 0 0 0 0  0  0  0  0  0  501 1268  265 25  3 72
