time,cpu,HT0,HT1,HT2,L2miss
1320,0,1579325,0,20919805,651671
1325,2,0,19816292,0,359634
1325,3,0,19821370,0,234672
1330,3,0,19293606,0,304330
1335,2,0,26875918,0,473986
1340,0,1716402,0,19274885,526843
1345,2,0,19235083,0,451305
1350,2,0,30193019,0,380437
1350,3,0,30194816,0,288400
1355,2,0,15270465,0,304432
1355,0,1568071,0,14721422,348758
1360,1,294541,0,7017904,190675
1365,0,1580628,0,20508551,483761
1370,2,0,20542615,0,517570
1370,0,1711997,0,20564187,433996
1375,1,1593759,0,17270789,381667
1380,1,1567171,0,21593282,669646
1385,1,1580566,0,18382019,312155
1390,3,0,20112994,0,264026
1395,1,1568296,0,20385465,709585
1400,0,1995082,0,19227881,580258
1400,1,1995038,0,19223334,401309
1405,3,0,12052152,0,163816
1405,2,0,12069077,0,253834
1410,2,0,20375325,0,207945
1415,0,1587477,0,16598237,523151
1420,2,0,19096513,0,408176
1425,3,0,26531077,0,259977
1430,2,0,20618412,0,443380
1435,3,0,18842634,0,426499
1435,0,1583159,0,18896048,441258
1440,0,1584953,0,20302825,821105
1445,3,0,19815324,0,232382
1445,0,1565127,0,17697930,539705
1450,3,0,19655836,0,263374
1455,0,910500,0,11773637,289873
1460,3,0,13617121,0,102593
1465,2,0,20647447,0,422113
1470,2,0,29350843,0,386422
1475,2,0,19647133,0,382275
1475,3,0,19657061,0,212583
1480,2,0,19854456,0,372462
1485,2,0,26566874,0,372651
1490,3,0,20629570,0,253880
1495,3,0,20341831,0,282669
1500,2,0,27322702,0,387347
1505,1,738121,0,5078342,129762
1505,0,738212,0,5077219,102007
1505,2,0,5129949,0,81060
1510,2,0,17710406,0,449720
1515,1,1599696,0,18894199,779171
1520,3,0,20699663,0,327501
1525,0,1581902,0,18706228,493677
1530,1,1569311,0,21642444,604902
1535,3,0,19296419,0,285367
1535,2,0,19304382,0,410512
1535,1,1596877,0,17790367,390818
1540,3,0,18849737,0,230809
1545,1,1582783,0,20114563,723939
1550,2,0,21339090,0,472540
1555,3,0,5411671,0,33188
1555,2,0,5410613,0,68513
1555,0,447136,0,4053601,121777
1560,2,0,26623323,0,387548
1565,2,0,18940826,0,386339
1570,1,1570892,0,17380343,432789
1575,1,1571447,0,20098897,733454
1580,2,0,19810850,0,402969
1585,2,0,21247917,0,398771
1590,3,0,27628172,0,301720
1590,0,1602207,0,20685353,515109
1595,2,0,19465113,0,404464
1600,1,1591092,0,12737521,341357
1605,3,0,15312271,0,127155
1605,2,0,15314158,0,158736
1610,2,0,20058587,0,344074
1610,3,0,20066641,0,341956
1615,2,0,21731816,0,371972
1615,0,1565650,0,18562440,610454
1620,2,0,27202419,0,392393
1625,0,1577193,0,18060280,550839
1630,1,1565190,0,17769150,389071
1635,1,1580627,0,19728986,768739
1640,2,0,21803009,0,438018
1645,3,0,20651184,0,486861
1645,2,0,20652817,0,476939
1650,1,1361217,0,13435870,631618
1650,3,0,19359263,0,135444
1650,2,0,19382344,0,244763
1655,3,0,10639291,0,131286
1660,3,0,20169240,0,200869
1665,0,1583100,0,20386171,459940
1665,3,0,26565121,0,246539
1670,0,1769296,0,18462700,538286
1670,2,0,20379446,0,452498
1675,0,1587307,0,18428251,511874
