Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
585 -56 -44 39 30 30 27 14 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
590 -52 -45 38 30 30 27 14 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
595 -55 -45 39 30 30 27 14 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
600 -56 -44 39 30 30 27 14 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
605 -56 -44 38 30 30 27 14 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
610 -56 -44 38 29 30 27 14 39 5Dh 76h 28 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
615 -55 -44 39 30 30 27 14 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
620 -56 -45 39 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
625 -52 -44 39 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
630 -56 -46 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
635 -57 -44 39 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
640 -55 -44 38 30 30 27 15 39 5Dh 76h 28 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
645 -55 -44 39 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
650 -56 -44 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
655 -52 -44 39 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
660 -52 -45 38 29 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
665 -56 -42 39 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
670 -55 -42 38 30 30 27 15 39 5Dh 76h 28 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
675 -52 -44 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
680 -55 -43 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
685 -56 -42 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
690 -57 -42 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
695 -56 -42 39 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
700 -57 -42 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
705 -55 -43 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
710 -55 -43 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 3
715 -55 -43 38 29 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
720 -55 -42 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
725 -57 -41 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
730 -57 -42 39 30 30 27 15 39 5Dh 76h 28 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
735 -56 -42 38 29 30 27 15 39 5Dh 76h 28 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
740 -55 -42 38 30 30 27 15 39 5Dh 76h 29 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
745 -56 -42 38 30 30 27 15 39 5Dh 76h 28 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 11
750 -57 -42 38 30 30 27 15 39 5Dh 76h 28 33 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
755 -57 -43 38 30 30 27 15 39 5Dh 76h 28 33 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
