parsecsingle.sh: Executing swaptions benchmark.
parsecsingle.sh: Destination directory is /usr/home/awl8049/scheduler/
parsecsingle.sh: Using parsec_awldev1swaptions as id for this run
parsecsingle.sh: Clearing memory on power meter
parsecsingle.sh: Restarting teaplant.
And now we start the Parsecsingle swaptions benchmark at 
DEBUG - PARSECPLAT is amd64-bsd.gcc
DEBUG buildfile = /usr/home/awl8049/Projects/parsec-2.1/config/gcc.bldconf
[PARSEC] Benchmarks to run:  swaptions

[PARSEC] [========== Running benchmark swaptions ==========]
[PARSEC] Deleting old run directory.
[PARSEC] Setting up run directory.
[PARSEC] No archive for input 'native' available, skipping input setup.
[PARSEC] Running 'time /usr/home/awl8049/Projects/parsec-2.1/pkgs/apps/swaptions/inst/amd64-bsd.gcc/bin/swaptions -ns 128 -sm 1000000 -nt 1':
[PARSEC] [---------- Beginning of output ----------]
PARSEC Benchmark Suite Version 2.1
Swaption127: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Number of Simulations: 1000000,  Number of threads: 1 Number of swaptions: 128

real	9m9.879s
user	9m9.803s
sys	0m0.064s
[PARSEC] [----------    End of output    ----------]
[PARSEC] Done.
And the Parsecsingle swaptions benchmark has completed at 17:30
parsecsingle.sh: Telling teaplant to cycle log files
parsecsingle.sh: Downloading data from the power meter
parsecsingle.sh: Data collection complete
