time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
560,383656891,198276236,38.3656891,19.8276236,51,50,39,31,36,28,17,39,31,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1564,1251.2,938.4,46.92,46.92,0,0
570,288398713,159109123,28.8398713,15.9109123,52,50,39,31,36,28,17,39,30,31,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1546,1236.8,927.6,46.38,46.38,0,0
580,278114955,159686442,27.8114955,15.9686442,48,50,39,31,37,28,17,39,30,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1558,1246.4,934.8,46.74,46.74,0,31.4
590,390923850,210326931,39.092385,21.0326931,52,49,39,31,37,28,17,39,30,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1575,1260,945,47.25,47.25,0,0
600,392731594,208824017,39.2731594,20.8824017,52,48,39,31,37,28,17,39,30,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1643,1314.4,985.8,49.29,49.29,0,0
610,382971598,205885212,38.2971598,20.5885212,52,48,39,31,37,28,17,39,30,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1808,1446.4,1084.8,54.24,54.24,0,31
620,217834213,139996102,21.7834213,13.9996102,53,48,39,31,37,28,17,39,30,32,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1646,1316.8,987.6,49.38,49.38,0,0
630,387183070,211652362,38.718307,21.1652362,53,48,39,31,37,28,17,39,30,32,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1572,1257.6,943.2,47.16,47.16,0,0
640,396462232,214959048,39.6462232,21.4959048,52,48,39,31,37,28,17,39,30,32,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1755,1404,1053,52.65,52.65,0,31.2
650,388479898,209404945,38.8479898,20.9404945,53,47,39,31,37,28,17,39,30,32,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1559,1247.2,935.4,46.77,46.77,0,0
660,278060145,163506662,27.8060145,16.3506662,50,48,39,31,37,28,17,39,30,32,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1557,1245.6,934.2,46.71,46.71,0,0
670,135895097,86732980,13.5895097,8.673298,49,48,39,31,37,28,17,39,30,32,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1731,1384.8,1038.6,51.93,51.93,0,31.6
680,447660828,300736452,44.7660828,30.0736452,46,56,39,31,37,28,17,39,30,32,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1693,1354.4,1015.8,50.79,50.79,0,0
690,9415793,5969704,0.9415793,0.5969704,46,56,39,31,37,28,16,39,31,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1682,1345.6,1009.2,50.46,50.46,0,0
700,3261518,2334031,0.3261518,0.2334031,47,56,39,31,37,28,16,39,31,31,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1612,1289.6,967.2,48.36,48.36,0,35.4
710,3269280,2378027,0.326928,0.2378027,47,56,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1654,1323.2,992.4,49.62,49.62,0,0
720,10823117,7570931,1.0823117,0.7570931,46,57,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1601,1280.8,960.6,48.03,48.03,0,0
730,471571635,328560083,47.1571635,32.8560083,46,55,39,31,37,28,16,39,31,31,42,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1643,1314.4,985.8,49.29,49.29,0,32.4
