 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 8701488 5948308 94 2545 0 0 0  0  0  0  0  0  0  364 1680  196 26  5 69
 0 0 0 9056524 6063436 142 3751 0 0 0 0  0  0  0  0  0  388 5113  250 11 10 79
 0 0 0 9293544 6140860 133 3635 0 0 0 0  0  0  0  0  0  394 2172  251  1  9 91
 0 0 0 9293008 6140672 323 2144 0 0 0 0  0  3  0  0  0  455 4285  260  6  4 90
 7 0 0 8653784 5830040 2420 64961 0 0 0 0 0 6  0  0  0 1578 28536 1189 60 40 0
 7 0 0 9054856 6008980 2315 44777 0 0 0 0 0 12 0  0  0 1380 32873 1615 66 34 0
 7 0 0 8992384 5923616 2399 46752 0 0 0 0 0 12 0  0  0 1377 34438 1060 66 34 0
 6 0 0 8873532 5884300 2061 56040 0 0 0 0 0 11 0  0  0 1273 28324 1136 63 37 0
 7 0 0 9127260 6010572 4903 50939 0 0 0 0 0 22 0  0  0 2169 49438 1809 54 46 0
 5 0 0 9228212 6084720 4659 45946 0 0 0 0 0 42 0  0  0 2831 54910 2374 59 41 0
 5 0 0 9057552 5981036 2503 51594 0 0 0 0 0 14 0  0  0 1483 35187 1564 63 37 0
 6 0 0 8151508 5540616 733 70144 0 0 0 0 0  5  0  0  0  819 10920 471 63 37  0
 5 0 0 8621700 5824648 785 54690 0 0 0 0 0  5  0  0  0  825 14010 512 68 32  0
 6 0 0 8699860 5798972 688 51782 0 0 0 0 0  4  0  0  0  757 12644 469 74 26  0
 5 0 0 8927576 5826320 1240 29455 0 0 0 0 0 7  0  0  0  973 15985 624 80 20  0
 5 0 0 8743684 5811288 874 52952 0 0 0 0 0 22  0  0  0 1236 8858  433 72 28  0
 3 0 0 8885600 5820420 222 22865 0 0 0 0 0  2  0  0  0  618 4801  205 83 16  2
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9110216 5964412 13 2574 0 0 0  0  0  0  0  0  0  396 1690   86 74  3 23
 0 0 0 9095636 5951092 163 9195 0 0 0 0  0  0  0  0  0  490 4687  162 73 11 16
 0 0 0 9076012 5928984 136 5011 0 0 0 0  0  0  0  0  0  495 2250  161 75 10 15
 0 0 0 9125132 5983088 77 1962 0 0 0  0  0  0  0  0  0  441 1870  149 64  8 28
 0 0 0 9165004 6027068 78 2281 0 0 0  0  0 26  0  0  0  636 1499  232 50  3 46
 0 0 0 9164712 6027420 142 3648 0 0 0 0  0  0  0  0  0  437 2166  228 51 10 39
 0 0 0 9164564 6027156 134 3636 0 0 0 0  0  0  0  0  0  448 2161  227 51 10 40
 0 0 0 9162648 6025260 33 971 0 0  0  0  0  0  0  0  0  403 1175  122 50  4 46
 0 0 0 9161272 6024028 101 2784 0 0 0 0  0  0  0  0  0  426 1775  193 51  6 44
 0 0 0 9161064 6024848 134 3638 0 0 0 0  0  0  0  0  0  451 2163  226 51 10 39
 0 0 0 9069792 5991456 362 21158 0 0 0 0 0  4  0  0  0  661 3409  298 46 15 39
 0 0 0 9204496 6054768 65 616 0 0  0  0  0  1  0  0  0  550 1200   98 37  1 61
 0 0 0 9221444 6071436 122 3543 0 0 0 0  0  0  0  0  0  428 2221  298 26  8 66
 0 0 0 9221588 6071520 134 3650 0 0 0 0  0  0  0  0  0  416 2194  247 26  9 65
 0 0 0 9221344 6071336 99 2932 0 0 0  0  0  0  0  0  0  399 1934  219 26  9 66
 0 0 0 9172844 6058448 86 16234 0 0 0 0  0  0  0  0  0  391 1296  124 21  4 74
 0 0 0 9269112 6108676 1191 12230 0 0 0 0 0 3  0  0  0  548 10690 413 21 14 65
 0 0 0 9231224 6064520 722 12013 0 0 0 0 0  0  0  0  0  419 28401 364 20 15 65
 0 0 0 9188596 6025240 96 2303 0 0 0  0  0  0  0  0  0  384 10508 194 24  9 67
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9174256 6011608 84 3470 0 0 0  0  0  0  0  0  0  407 2388  191 25  2 73
 0 0 0 9149544 5996148 134 3685 0 0 0 0  0  0  0  0  0  399 2199  245 26 10 65
 0 0 0 9148636 6001940 134 3639 0 0 0 0  0  0  0  0  0  399 2159  247 26  9 65
 0 0 0 9148816 6005420 65 1353 0 0 0  0  0  2  0  0  0  428 1295  182 25  6 69
 0 0 0 9148880 6005772 104 2301 0 0 0 0  0  0  0  0  0  385 1536  190 25  3 71
 0 0 0 9149024 6005700 135 3713 0 0 0 0  0  0  0  0  0  420 2192  256 26  9 65
 0 0 0 9148588 6005588 134 3639 0 0 0 0  0  0  0  0  0  407 2179  254 26  9 65
 0 0 0 9148812 6005608 57 1352 0 0 0  0  0  0  0  0  0  400 1275  144 25  5 70
 0 0 0 9147548 6004360 82 2572 0 0 0  0  0  0  0  0  0  408 1961  197 25  5 70
 0 0 0 9136444 5994520 137 3965 0 0 0 0  0  2  0  0  0  483 2250  288 26 10 65
 0 0 0 9132748 5990880 140 3645 0 0 0 0  0  0  0  0  0  421 2162  242 26  9 65
 0 0 0 9132932 5990688 12 99 0  0  0  0  0  0  0  0  0  342  800   83 25  3 72
 0 0 0 9132692 5990644 122 3549 0 0 0 0  0  0  0  0  0  429 2056  246 26  6 68
 0 0 0 9132420 5990568 134 3652 0 0 0 0  0  0  0  0  0  455 2188  252 26  9 65
 0 0 0 9132204 5990340 134 3656 0 0 0 0  0  0  0  0  0  422 2263  241 26  9 65
 0 0 0 9131780 5989492 16 100 0 0  0  0  0  2  0  0  0  454  768  134 25  2 73
 0 0 0 9131568 5989536 126 3557 0 0 0 0  0  0  0  0  0  570 2111  238 26  8 66
 0 0 0 9131536 5989408 134 3653 0 0 0 0  0  0  0  0  0  416 2255  296 26  9 65
 0 0 0 9131332 5989400 115 3516 0 0 0 0  0  0  0  0  0  397 2136  237 26  9 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9131728 5989408 19 138 0 0  0  0  0  0  0  0  0  354  782   94 25  0 75
 0 0 0 9131184 5989260 134 3656 0 0 0 0  0  0  0  0  0  420 2185  252 26  9 65
 0 0 0 9130704 5988620 148 3682 0 0 0 0  0  2  0  0  0  450 2566  276 26  9 65
 0 0 0 9124224 5981312 78 1786 0 0 0  0  0  0  0  0  0  411 4684  168 25  8 67
 0 0 0 9111420 5968168 65 2053 0 0 0  0  0  0  0  0  0  407 4718  180 25  2 73
 0 0 0 9097728 5956284 134 3848 0 0 0 0  0  0  0  0  0  413 3053  249 26  9 65
 0 0 0 9087576 5946096 134 3951 0 0 0 0  0  0  0  0  0  410 4035  246 25  9 65
 0 0 0 9072704 5930776 58 2354 0 0 0  0  0  0  0  0  0  381 2324  144 25  7 68
 0 0 0 9044096 5905052 78 3166 0 0 0  0  0  2  0  0  0  485 1778  234 25  3 72
 0 0 0 9018756 5881332 142 5601 0 0 0 0  0  0  0  0  0  419 2697  245 25 10 65
 0 0 0 8979792 5848900 134 3741 0 0 0 0  0  0  0  0  0  419 3441  255 26  9 65
 0 0 0 9065100 5910948 343 19296 0 0 0 0 0  0  0  0  0  381 3194  154 20 10 69
 0 0 0 9047368 5913968 207 36040 0 0 0 0 0  0  0  0  0  397 3778  202 18 13 69
 0 0 0 9059328 5952872 292 35600 0 0 0 0 0  0  0  0  0  427 3358  259 19 17 64
 0 0 0 9121696 5999820 366 22189 0 0 0 0 0  2  0  0  0  530 4647  308 21 16 64
 0 0 0 9077860 5994144 624 36055 0 0 0 0 0  0  0  0  0  393 6278  153 17 12 70
 0 0 0 9143804 6048544 1708 25979 0 0 0 0 0 0  0  0  0  433 14690 408 19 16 66
 0 0 0 9089388 5960188 972 37246 0 0 0 0 0  0  0  0  0  413 9451  333 17 20 64
 0 0 0 9154188 6025408 1490 32307 0 0 0 0 0 0  0  0  0  430 13316 386 18 19 63
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9102588 5959960 1050 39914 0 0 0 0 0 0  0  0  0  389 8693  189 15 13 72
 0 0 0 9109100 5999300 1274 44082 0 0 0 0 0 4  0  0  0  824 10580 426 15 20 65
 0 0 0 9229280 6076192 3246 28406 0 0 0 0 0 7  0  0  0  755 24627 592 18 22 61
 0 0 0 9176144 6038084 2965 41157 0 0 0 0 0 0  0  0  0  436 22196 597 15 24 62
 0 0 0 9056352 5920248 997 43241 0 0 0 0 0  0  0  0  0  375 8179  187 15 12 73
 0 0 0 8999616 5930288 354 63298 0 0 0 0 0  0  0  0  0  410 4178  268 11 25 64
