Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
250,45,50,37,47,3567.2,3567.2,8449,8449,1518147,1518149,1518148,354501183,354498288,354499735.5,240304026,240247789,240275907.5,2640972,1069944,71963965,666990,228.4,115,1.84,171.3,137.04,68.52,1.52,354.5,240.28,26.41,10.7,719.64,6.67,0,0.2,0,0.8,0,0.8
255,44,50,37,48,3567.2,3567.2,8662,8449,1542867,1542867,1542867,287537958,287558565,287548261.5,199628043,199674287,199651165,596409,391253,50270013,26559001,228.3,114.9,1.86,171.23,136.98,68.49,1.54,287.55,199.65,5.96,3.91,502.7,265.59,0,0.6,0,2.9,0,2.9
260,44,50,37,47,3567.2,3567.2,8662,8449,1545221,1545223,1545222,315291737,315290441,315291089,220236255,220196021,220216138,1796231,409227,24599434,49607751,228.1,115,1.83,171.08,136.86,68.43,1.55,315.29,220.22,17.96,4.09,245.99,496.08,0,0.4,0,1.6,0,1.6
265,44,50,37,47,3567.2,3567.2,8662,8449,1540945,1540943,1540944,345422017,345403296,345412656.5,233569644,233596459,233583051.5,3206716,399858,72555427,434184,228.3,114.9,1.83,171.23,136.98,68.49,1.54,345.41,233.58,32.07,4,725.55,4.34,0,0,0,0,0,0
270,44,50,37,47,3645.6,3645.6,8662,8662,1531750,1531715,1531732.5,353869461,353872557,353871009,238650864,238641770,238646317,3528584,360054,71252967,1345116,228.3,114.8,1.83,171.23,136.98,68.49,1.53,353.87,238.65,35.29,3.6,712.53,13.45,0,0,0,0,0,0
275,44,50,37,47,3488.8,3645.6,8662,8662,1525771,1525771,1525771,312764155,312763489,312763822,214684231,214679409,214681820,1689677,406297,48217965,26340674,228.5,114.8,1.83,171.38,137.1,68.55,1.53,312.76,214.68,16.9,4.06,482.18,263.41,0,0,0,0,0,0
280,44,51,37,47,3488.8,3645.6,8662,8449,1516673,1516667,1516670,318296158,318194605,318245381.5,217885678,217780936,217833307,1802760,490323,1413264,72944508,228.6,114.9,1.83,171.45,137.16,68.58,1.52,318.25,217.83,18.03,4.9,14.13,729.45,0,0.4,0,0.8,0,0.8
285,44,51,37,47,3567.2,3567.2,8662,8449,1522596,1522720,1522658,287989627,287893796,287941711.5,197673252,197683310,197678281,503075,307681,865490,74976126,228.5,114.8,1.83,171.38,137.1,68.55,1.52,287.94,197.68,5.03,3.08,8.65,749.76,0,0.4,0,3.8,0,3.8
290,44,50,37,47,3567.2,3567.2,8662,8662,237324,237200,237262,314272564,314668341,314470452.5,216869304,216851568,216860436,261182,1681876,46824776,26908980,228.5,114.8,1.83,171.38,137.1,68.55,0.24,314.47,216.86,2.61,16.82,468.25,269.09,0,0.8,0,3.2,0,3.2
295,44,49,37,47,3567.2,3645.6,8662,8449,1553564,1553570,1553567,353088971,352892012,352990491.5,238640003,238762533,238701268,2261531,1688213,25400575,46036836,228.6,115,1.83,171.45,137.16,68.58,1.55,352.99,238.7,22.62,16.88,254.01,460.37,0,0,0,0,0,0
