Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
275,42,45,34,42,3645.6,3567.2,9656,9656,1532169,20440969,20319438,475744,1.74E+05,446233,399224,1.532169,20.440969,20.319438,4.76E+00,1.74E+00,4.46E+00,3.99E+00,2112.6,1135,1690.076596,126.7557447,63.37787234,63.37787234,0,11.6,0,96.2,0,98508.8
280,42,45,34,42,3724,3645.6,9656,9656,1531156,20440969,19063887,371041,1.74E+05,446233,399224,1.531156,20.440969,19.063887,3.71E+00,1.74E+00,4.46E+00,3.99E+00,2115.52,1141,1692.414184,126.9310638,63.46553191,63.46553191,0,1.2,0,0.8,0,819.2
285,42,45,34,42,3645.6,3645.6,9656,9656,7.62E+05,9.55E+06,9.98E+06,371041,2.45E+05,234993,399224,0.7621355,9.552824,9.982448,3.71E+00,2.45E+00,2.35E+00,3.99E+00,2057.08,1143,1645.662411,123.4246809,61.71234043,61.71234043,0,0,0,0,0,0
290,43,45,34,42,3645.6,3645.6,9656,9372,7.62E+05,17039957,9.98E+06,371041,2.45E+05,488645,399224,0.7621355,17.039957,9.982448,3.71E+00,2.45E+00,4.89E+00,3.99E+00,2060,1143,1648,123.6,61.8,61.8,0,0,0,0,0,0
295,42,45,34,42,3645.6,3645.6,9656,9656,7.62E+05,18873242,9.98E+06,371041,2.45E+05,491639,399224,0.7621355,18.873242,9.982448,3.71E+00,2.45E+00,4.92E+00,3.99E+00,2067.3,1145,1653.843972,124.0382979,62.01914894,62.01914894,0,0,0,0,0,0
300,42,46,34,42,3645.6,3645.6,9656,9372,8.20E+05,9440631,1.08E+07,196809,2.45E+05,491639,271195,0.8195205,9.440631,10.78931,1.97E+00,2.45E+00,4.92E+00,2.71E+00,2055.62,1143,1644.493617,123.3370213,61.66851064,61.66851064,0,0,0,0,0,0
305,42,46,34,42,3645.6,3645.6,9656,9372,8.20E+05,2.01E+07,1.08E+07,196809,2.45E+05,238669,1.03E+05,0.8195205,20.11325,10.78931,1.97E+00,2.45E+00,2.39E+00,1.03E+00,2054.16,1134,1643.324823,123.2493617,61.62468085,61.62468085,0,12.8,0,71,0,72704
310,42,45,34,42,3724,3645.6,9656,9656,8.20E+05,18993227,1.08E+07,196809,2.45E+05,429998,1.03E+05,0.8195205,18.993227,10.78931,1.97E+00,2.45E+00,4.30E+00,1.03E+00,2064.38,1136,1651.506383,123.8629787,61.93148936,61.93148936,0,1.2,0,0.8,0,819.2
315,43,45,34,42,3645.6,3645.6,9656,9656,1528153,18993227,19342050,2.49E+05,2.47E+05,429998,1.03E+05,1.528153,18.993227,19.34205,2.49E+00,2.47E+00,4.30E+00,1.03E+00,2067.3,1134,1653.843972,124.0382979,62.01914894,62.01914894,0,0,0,0,0,0
320,42,46,34,42,3645.6,3645.6,9372,9656,1528153,20021031,19342050,2.49E+05,2.47E+05,568736,1.03E+05,1.528153,20.021031,19.34205,2.49E+00,2.47E+00,5.69E+00,1.03E+00,2093.6,1139,1674.88227,125.6161702,62.80808511,62.80808511,0,0,0,0,0,0
325,43,46,34,42,3645.6,3645.6,9656,9656,753813,9646396,9630503,271734,2.47E+05,2.42E+05,1.03E+05,0.753813,9.646396,9.630503,2.72E+00,2.47E+00,2.42E+00,1.03E+00,2057.08,1138,1645.662411,123.4246809,61.71234043,61.71234043,0,0,0,0,0,0
330,42,46,34,42,3645.6,3645.6,9372,9656,819778,10358902,10541111,271159,2.47E+05,2.42E+05,123001,0.819778,10.358902,10.541111,2.71E+00,2.47E+00,2.42E+00,1.23E+00,2057.08,1138,1645.662411,123.4246809,61.71234043,61.71234043,0,0,0,0,0,0
335,42,46,34,42,3645.6,3645.6,9372,9372,7.61E+05,8.88E+06,9.92E+06,271159,1.61E+05,2.42E+05,212680,0.7607105,8.876474,9.918042,2.71E+00,1.61E+00,2.42E+00,2.13E+00,2055.62,1135,1644.493617,123.3370213,61.66851064,61.66851064,0,16.8,0,81.1,0,83046.4
340,42,45,34,42,3645.6,3645.6,9656,9656,756573,9.68E+06,9.70E+06,260941,1.61E+05,2.42E+05,128846,0.756573,9.682672,9.7026,2.61E+00,1.61E+00,2.42E+00,1.29E+00,2061.46,1137,1649.168794,123.6876596,61.84382979,61.84382979,0,1.2,0,0.8,0,819.2
345,42,46,34,42,3645.6,3645.6,9656,9656,756573,18250576,9.70E+06,260941,1.61E+05,2.42E+05,595775,0.756573,18.250576,9.7026,2.61E+00,1.61E+00,2.42E+00,5.96E+00,2060,1138,1648,123.6,61.8,61.8,0,0,0,0,0,0
350,42,46,34,42,3645.6,3645.6,9656,9656,7.47E+05,9840811,9906120,260941,243133,2.42E+05,97277,0.7471015,9.840811,9.90612,2.61E+00,2.43E+00,2.42E+00,9.73E-01,2064.38,1141,1651.506383,123.8629787,61.93148936,61.93148936,0,0,0,0,0,0
355,42,46,34,42,3724,3645.6,9656,9656,7.59E+05,9.25E+06,1.01E+07,260941,1.94E+05,2.42E+05,1.59E+05,0.7586385,9.24998,10.0508,2.61E+00,1.94E+00,2.42E+00,1.59E+00,2058.54,1142,1646.831206,123.5123404,61.75617021,61.75617021,0,0,0,0,0,0
360,42,46,34,42,3724,3567.2,9656,9656,7.59E+05,2.01E+07,1.01E+07,260941,1.94E+05,246127,2.34E+05,0.7586385,20.09692,10.0508,2.61E+00,1.94E+00,2.46E+00,2.34E+00,2093.6,1139,1674.88227,125.6161702,62.80808511,62.80808511,0,0,0,0,0,0
365,42,46,34,42,3567.2,3645.6,9656,9656,7.58E+05,8.85E+06,10092411,260941,1.04E+05,246127,1.79E+05,0.7583545,8.852862,10.092411,2.61E+00,1.04E+00,2.46E+00,1.79E+00,2068.77,1143,1655.012766,124.1259574,62.06297872,62.06297872,0,13,0,73.9,0,75673.6
370,42,46,34,42,3724,3567.2,9656,9656,7.60E+05,8921567,10053893,2.17E+05,1.04E+05,246127,210543,0.7595105,8.921567,10.053893,2.17E+00,1.04E+00,2.46E+00,2.11E+00,2067.3,1142,1653.843972,124.0382979,62.01914894,62.01914894,0,1.2,0,0.8,0,819.2
