Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missc3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
175,42.77777778,45.33333333,34.11111111,43.22222222,3567.2,3575.911111,8614.666667,8449,1538060.333,1538055.667,1538058,15343665,15221660.33,15282662.67,16825741.33,16824215.44,16824978.44,481044,330598.4444,382300.1111,267237.5556,207.1,115.0222222,1.658888889,155.3277778,124.26,62.13,1.536666667,15.28444444,16.82555556,4.811111111,3.305555556,3.822222222,2.673333333,0,0.488888889,0,3.244444444,0,3322.311111
180,42.88888889,45.33333333,34,43.22222222,3558.488889,3575.911111,8614.666667,8472.666667,1540747.667,1540742.111,1540744.889,16207756.56,15969016.89,16088386.78,18531116.78,18538480.44,18534798.61,452155.3333,294125.8889,413900.7778,457633.5556,207.0777778,115.0222222,1.676666667,155.31,124.2466667,62.12333333,1.542222222,16.09,18.53555556,4.521111111,2.941111111,4.138888889,4.575555556,0,0.222222222,0,1.555555556,0,1592.888889
185,43.11111111,45.22222222,34,43.22222222,3558.488889,3575.911111,8567.333333,8354.333333,1504336.889,1504348.889,1504342.889,14551181.89,16031975.22,15291578.61,18422297.56,18419257.11,18420777.33,405447.2222,287078.1111,339498.7778,514821.3333,207.0666667,115.0777778,1.657777778,155.3011111,124.24,62.12,1.504444444,15.29111111,18.42222222,4.053333333,2.87,3.394444444,5.148888889,0,1.733333333,0,6.511111111,0,6667.377778
190,43,45,34,43.11111111,3558.488889,3567.2,8638.333333,8378,403891.5556,403641.3333,403766.4444,6510184.889,5196021.444,5853103.222,7121592.444,7109473.667,7115533.111,113592.6667,70856.55556,113479.1111,233766.4444,207.6777778,115.0111111,1.66,155.7611111,124.6066667,62.30333333,0.403333333,5.854444444,7.114444444,1.136666667,0.708888889,1.135555556,2.336666667,0,1.288888889,0,4.988888889,0,5108.622222
195,43,45.22222222,34,43.11111111,3567.2,3593.333333,8567.333333,8472.666667,1395769.111,1396015.556,1395892.333,15630215.11,15687399.56,15658807.39,19299233.44,19312661.33,19305947.44,404519,266518,359170.6667,495927.5556,207.5111111,115.0888889,1.664444444,155.6355556,124.5066667,62.25333333,1.394444444,15.65888889,19.30444444,4.044444444,2.665555556,3.592222222,4.956666667,0,1,0,5.188888889,0,5313.422222
200,43,45.22222222,34,43.11111111,3558.488889,3584.622222,8567.333333,8401.666667,1534972.444,1534975.333,1534973.889,14967292.44,15038549.78,15002921.17,16683787.89,16683742.22,16683765.11,434803.7778,290148.3333,367554.8889,326299.5556,207.2555556,115.0888889,1.668888889,155.4455556,124.3533333,62.17666667,1.535555556,15.00333333,16.68333333,4.347777778,2.902222222,3.676666667,3.262222222,0,0.844444444,0,6.266666667,0,6417.066667
205,42.77777778,45.33333333,34,43.11111111,3549.777778,3584.622222,8591,8449,1537531.556,1537519.333,1537525.444,15096333.89,15160609.22,15128471.56,16693809.67,16686815.89,16690312.78,465660.1111,330020.4444,363317.6667,296158.2222,207.1222222,115.1111111,1.67,155.3444444,124.2733333,62.13666667,1.537777778,15.12555556,16.69,4.656666667,3.301111111,3.633333333,2.961111111,0,0.355555556,0,2.877777778,0,2946.844444
210,43,45.11111111,34,43.11111111,3567.2,3575.911111,8638.333333,8378,1533695.889,1533712.222,1533704.056,16464547.67,16113259.44,16288903.56,18704944.44,18713836.56,18709390.56,436241.7778,292297.3333,404536,477335.8889,207.1444444,115.1,1.657777778,155.3611111,124.2866667,62.14333333,1.534444444,16.28888889,18.71,4.363333333,2.923333333,4.046666667,4.773333333,0,0.111111111,0,1.611111111,0,1649.777778
215,43,45.22222222,34,43,3549.777778,3584.622222,8638.333333,8401.666667,1544451.222,1544448.111,1544449.667,15599785.56,15887123.11,15743454.33,17893745.44,17893425.22,17893585.33,452516.7778,334506.6667,362230.2222,474357.5556,207.0666667,115.1,1.665555556,155.3022222,124.24,62.12,1.543333333,15.74111111,17.89444444,4.525555556,3.345555556,3.623333333,4.742222222,0,1.622222222,0,5.911111111,0,6052.977778
220,42.77777778,45.22222222,34,43.11111111,3575.911111,3575.911111,8685.666667,8378,1540717.444,1540717.889,1540717.667,16264895.11,15946698.22,16105796.67,18683102.78,18681420.78,18682261.78,428355.4444,297124.7778,468825.6667,373025.5556,207.0555556,115.0555556,1.665555556,155.2933333,124.2333333,62.11666667,1.541111111,16.10555556,18.68111111,4.286666667,2.97,4.687777778,3.73,0,0.844444444,0,3.622222222,0,3709.155556
