time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
580,469727176,233733368,469.727176,233.733368,58,49,38,29,36,27,16,38,28,35,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1599,1279.2,959.4,47.97,47.97,0,34.9
590,481864132,243000835,481.864132,243.000835,57,49,38,29,36,27,16,38,27,35,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1911,1528.8,1146.6,57.33,57.33,0,0
600,471069931,235533091,471.069931,235.533091,57,49,38,29,36,27,16,38,28,35,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1618,1294.4,970.8,48.54,48.54,0,0
610,457398992,226182358,457.398992,226.182358,57,49,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1606,1284.8,963.6,48.18,48.18,0,35.4
620,467469830,232439068,467.46983,232.439068,57,49,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1601,1280.8,960.6,48.03,48.03,0,0
630,476109633,239664933,476.109633,239.664933,57,49,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1699,1359.2,1019.4,50.97,50.97,0,0
640,475760409,238776682,475.760409,238.776682,57,49,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1605,1284,963,48.15,48.15,0,39.9
650,463792646,230702708,463.792646,230.702708,57,49,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1587,1269.6,952.2,47.61,47.61,0,0
660,455041678,225074930,455.041678,225.07493,54,49,38,29,36,27,16,38,28,36,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1607,1285.6,964.2,48.21,48.21,0,0
670,477031193,239430009,477.031193,239.430009,57,48,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1596,1276.8,957.6,47.88,47.88,0,106.1
