,,,,,,,,,,,,,,,,,,Real Temp Difference,,,
scheduler,run,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat,,Average of coretemp_av,,cpu,,,,,,CPU,,,
ule,1,185,0,39.5,50.42,35.73,20.94,15.71,,,615,35.893,37.893,34.647,35.103,,615,-0.873,-2.333,0.547,-0.080
ule,1,185,1,91.31,127.5,39.48,43.05,32.29,,,620,35.893,37.933,34.687,35.143,,620,-0.837,-2.043,0.460,-0.083
ule,1,185,2,12.15,17.78,32.1,10.34,7.754,,,625,35.893,38.100,34.560,35.187,,625,-0.837,-1.877,0.333,-0.040
ule,1,185,3,3.578,5.018,34.6,7.199,5.4,,,630,35.893,38.100,34.560,35.227,,630,-0.877,-2.083,0.460,0.043
ule,1,190,0,40.67,51.87,35.73,21.38,16.03,,,635,35.893,38.100,34.560,35.270,,635,-1.000,-2.043,0.583,0.087
ule,1,190,1,94.07,131.3,39.6,44.17,33.12,,,640,35.810,37.893,34.270,35.183,,640,-1.250,-2.210,0.460,0.040
ule,1,190,2,12.71,18.56,32.23,10.58,7.937,,,645,35.810,38.060,33.977,35.350,,645,-1.250,-2.000,0.167,0.207
ule,1,190,3,3.737,5.232,34.6,7.262,5.446,,,650,35.770,37.603,34.393,35.350,,650,-1.250,-2.373,0.793,0.247
ule,1,195,0,41.62,53.02,35.85,21.75,16.31,,,655,35.770,37.727,34.520,35.020,,655,-1.250,-2.293,0.920,-0.083
ule,1,195,1,97.21,135.6,40.23,45.51,34.14,,,660,35.770,37.687,34.520,34.977,,660,-1.290,-2.540,1.043,-0.083
ule,1,195,2,13.28,19.33,32.23,10.81,8.104,,,665,35.770,37.687,34.480,34.977,,665,-1.290,-2.500,1.003,-0.083
ule,1,195,3,3.738,5.241,34.23,7.201,5.4,,,670,35.770,37.893,34.353,34.937,,670,-1.290,-2.210,0.880,-0.123
ule,1,200,0,42.59,54.2,35.98,22.13,16.6,,,675,35.810,38.143,34.227,34.893,,675,-1.167,-2.127,0.753,-0.167
ule,1,200,1,100.9,140.7,40.85,47.08,35.31,,,680,35.850,38.017,34.813,35.017,,680,-1.003,-2.460,1.297,-0.043
ule,1,200,2,13.29,19.35,31.85,10.75,8.061,,,685,35.897,38.060,34.977,34.893,,685,-0.957,-2.460,1.460,-0.167
ule,1,200,3,3.739,5.25,34.1,7.181,5.386,,,690,35.893,38.183,34.853,34.933,,690,-1.210,-2.420,1.293,-0.167
ule,1,205,0,43.69,55.55,36.1,22.56,16.92,,,695,35.977,38.560,34.560,34.933,,695,-1.293,-1.917,1.043,-0.167
ule,1,205,1,104.4,145.6,40.98,48.51,36.38,,,700,35.893,38.393,34.683,34.933,,700,-1.583,-2.127,1.333,-0.167
ule,1,205,2,13.29,19.37,31.98,10.77,8.08,,,705,35.893,38.477,34.683,34.933,,705,-1.627,-2.207,1.457,-0.167
ule,1,205,3,3.739,5.26,34.1,7.183,5.387,,,710,35.893,38.433,34.687,35.020,,710,-1.667,-2.460,1.587,-0.080
ule,1,210,0,45.01,57.21,36.1,23.05,17.29,,,715,35.853,38.393,34.687,35.060,,715,-1.873,-2.333,1.630,-0.040
ule,1,210,1,107.7,150.2,41.1,49.85,37.39,,,720,35.853,38.603,34.563,35.060,,720,-1.873,-2.290,1.630,-0.040
ule,1,210,2,13.3,19.39,32.1,10.8,8.098,,,725,35.770,38.433,34.687,35.100,,725,-2.123,-2.293,1.753,0.000
ule,1,210,3,3.74,5.272,34.1,7.185,5.389,,,730,35.730,38.270,34.813,35.143,,730,-2.163,-2.413,1.880,0.043
ule,1,215,0,46.48,59.11,36.1,23.62,17.71,,,735,35.600,37.727,35.227,35.227,,735,-2.253,-3.000,2.253,0.127
ule,1,215,1,110.9,154.6,41.1,51.1,38.33,,,740,35.643,37.850,35.227,35.310,,740,-2.043,-3.043,2.210,0.210
ule,1,215,2,13.3,19.41,32.1,10.8,8.101,,,745,35.687,38.020,35.103,35.310,,745,-2.000,-2.913,2.087,0.210
ule,1,215,3,3.741,5.283,34.1,7.187,5.39,,,750,35.687,37.853,35.060,35.433,,750,-2.000,-3.123,2.043,0.333
ule,1,220,0,48.05,61.13,36.1,24.21,18.16,,,755,35.770,38.060,34.893,35.393,,755,-1.707,-3.000,1.710,0.250
ule,1,220,1,113.9,158.9,41.1,52.32,39.24,,,760,35.770,37.893,34.977,35.350,,760,-1.707,-3.000,1.670,0.167
ule,1,220,2,13.31,19.43,32.1,10.81,8.104,,,765,35.813,38.060,34.813,35.310,,765,-1.620,-2.667,1.420,0.083
ule,1,220,3,3.741,5.293,34.1,7.189,5.392,,,770,35.813,38.063,34.770,35.310,,770,-1.373,-2.497,1.087,0.043
ule,1,225,0,49.66,63.23,36.1,24.83,18.62,,,775,35.893,38.397,34.477,35.230,,775,-1.127,-2.080,0.667,-0.080
ule,1,225,1,117,163.1,41.1,53.53,40.15,,,780,35.893,38.270,34.437,35.230,,780,-1.250,-1.830,0.547,-0.120
